"UniRef50_P07900" "species"
"MMETSP1322" -588 "Minutocellus polymorphus"
"MMETSP1325" -588 "Florenciella sp."
"MMETSP1327" -588 "Micromonas pusilla"
"MMETSP1328" -588 "Pelagomonas calceolata"
"MMETSP1329" -588 "Genus nov. species nov."
"MMETSP1330" -588 "Picochlorum sp."
"MMETSP1334" -588 "Calcidiscus leptoporus"
"MMETSP1335" -588 "Chrysoculter rhomboideus"
"MMETSP1336" -588 "Chaetoceros cf. neogracile"
"MMETSP0753" -584.2 "Chaetoceros neogracile"
"MMETSP1324" -581.8 "Florenciella sp."
"MMETSP0361" -579.7 "Scrippsiella Hangoei"
"MMETSP1319" -561.1 "Bolidomonas pacifica"
"MMETSP1425" -557.9 "Oxyrrhis marina"
"MMETSP0809" -556.2 "Eutreptiella gymnastica-like"
"MMETSP1128" -547.9 "Dunaliella tertiolecta"
"MMETSP1130" -547.9 "Isochrysis sp."
"MMETSP1131" -547.9 "Isochrysis sp."
"MMETSP1139" -547.9 "Pavlova sp."
"MMETSP1127" -545.1 "Dunaliella tertiolecta"
"MMETSP0199" -542.2 "Thraustochytrium sp."
"MMETSP1323" -532.9 "Florenciella parvula"
"MMETSP1316" -525.3 "Pycnococcus provasolii"
"MMETSP1140" -517.3 "Pavlova sp."
"MMETSP0206" -499.9 "Euplotes focardii"
"MMETSP0018" -499.4 "Uronema sp."
"MMETSP1434" -493.6 "Minutocellus polymorphus"
"MMETSP1435" -493.6 "Chaetoceros brevis"
"MMETSP1437" -493.6 "Eucampia antarctica"
"MMETSP1442" -493.6 "Craspedostauros australis"
"MMETSP1443" -493.6 "Entomoneis sp."
"MMETSP1444" -493.6 "Phaeocystis antarctica"
"MMETSP1445" -493.6 "Pyramimonas sp."
"MMETSP1446" -493.6 "Undescribed Undescribed"
"MMETSP1447" -493.6 "Chaetoceros dichaeta"
"MMETSP1449" -493.6 "Attheya septentrionalis"
"MMETSP1453" -493.6 "Undescribed Undescribed"
"MMETSP1456" -493.6 "Undescribed Undescribed"
"MMETSP1460" -493.6 "Bathycoccus prasinos"
"MMETSP1463" -493.6 "Pavlova lutheri"
"MMETSP1464" -493.6 "Exanthemachrysis gayraliae"
"MMETSP1465" -493.6 "Phaeocystis cordata"
"MMETSP1467" -493.6 "Undescribed Undescribed"
"MMETSP1468" -493.6 "Mantoniella sp"
"MMETSP1469" -493.6 "Unidentified sp."
"MMETSP1471" -493.6 "Pycnococcus provasolii"
"MMETSP1472" -493.6 "Pycnococcus provasolii"
"MMETSP1473" -493.6 "Stichococcus sp"
"MMETSP1475" -493.6 "Undescribed Undescribed"
"MMETSP1474" -486.8 "Imantonia sp."
"MMETSP1466" -485.5 "Pavlova gyrans"
"MMETSP0040" -479.5 "Lotharella oceanica"
"MMETSP1459" -479.5 "Pycnococcus provasolii"
"MMETSP0142" -479.2 "Pseudo-nitzschia australis"
"MMETSP1470" -479.1 "Unidentified sp"
"MMETSP1450" -452.5 "Madagascaria erythrocladiodes"
"MMETSP0404" -449.6 "Thalassiosira rotula"
"MMETSP0973" -449.6 "Thalassiosira oceanica"
"MMETSP1438" -439.7 "Pterosperma sp."
"MMETSP1309" -437.6 "Genus nov. species nov."
"MMETSP1311" -437.6 "Genus nov. species nov."
"MMETSP1318" -437.6 "Partenskyella glossopodia"
"MMETSP0088" -423.9 "Chaetoceros affinis"
"MMETSP0944" -414.9 "Isochrysis galbana"
"MMETSP1326" -411.5 "Genus nov. species nov."
"MMETSP1035" -410.7 "Lingulodinium polyedra"
"MMETSP1032" -410.5 "Lingulodinium polyedra"
"MMETSP0563" -398 "Skeletonema dohrnii"
"MMETSP1034" -377.1 "Lingulodinium polyedra"
"MMETSP1033" -375.5 "Lingulodinium polyedra"
"MMETSP0211" -363.9 "Pseudokeronopsis sp."
"MMETSP0268" -358.8 "Prorocentrum minimum"
"MMETSP0126" -357.8 "Strombidinopsis acuminatum"
"MMETSP0851" -357.8 "Pseudo-nitzschia fraudulenta"
"MMETSP0271" -320.3 "Scrippsiella trochoidea"
"MMETSP0738" -319.1 "Thalassiosira miniscula"
"MMETSP0739" -319.1 "Thalassiosira miniscula"
"MMETSP0740" -319.1 "Thalassiosira miniscula"
"MMETSP1104" -315 "Cafeteria sp."
"MMETSP0916" -314.2 "Aureococcus anophagefferens"
"MMETSP0371" -311.7 "Peridinium aciculiferum"
"MMETSP1081" -306.1 "Pyramimonas amylifera"
"MMETSP0044" -294.9 "Oxyrrhis marina"
"MMETSP0329" -294.1 "Pseudo-nitzschia arenysensis"
"MMETSP1320" -286.6 "Bolidomonas sp."
"MMETSP1117" -242.5 "Symbiodinium sp."
"MMETSP0151" -230.5 "Paramoeba atlantica"
"MMETSP0161" -230.5 "Neoparamoeba aestuarina"
"MMETSP0166" -230.5 "Vannella robusta"
"MMETSP0168" -230.5 "Vannella sp."
"MMETSP0173" -230.5 "Vexillifera sp."
"MMETSP1384" -230.5 "Ammonia sp."
"MMETSP1385" -230.5 "Elphidium margaritaceum"
"MMETSP1451" -230.4 "Vitrella brassicaformis"
"MMETSP0961" -229 "Aurantiochytrium limacinum"
"MMETSP1163" -227.1 "Phaeomonas parva"
"MMETSP1166" -227.1 "Chrysoreinhardia sp"
"MMETSP1353" -227.1 "Erythrolobus australicus"
"MMETSP1354" -227.1 "Erythrolobus madagascarensis"
"MMETSP0202" -221.3 "Karenia brevis"
"MMETSP0029" -218.4 "Karenia brevis"
"MMETSP1162" -217.6 "Phaeocystis Sp"
"MMETSP0109" -201.2 "Chlorarachnion reptans"
"MMETSP0110" -201.2 "Gymnochlora sp."
"MMETSP0595" -197.9 "Isochrysis galbana"
"MMETSP1082" -196.4 "Micromonas sp."
"MMETSP1084" -196.4 "Micromonas sp."
"MMETSP1091" -196.4 "Rhodomonas sp."
"MMETSP1386" -196.4 "Micromonas sp."
"MMETSP1387" -196.4 "Micromonas sp."
"MMETSP1389" -196.4 "Rhodomonas sp."
"MMETSP1371" -193.4 "Symbiodinium sp."
"MMETSP0956" -192.1 "Aplanochytrium sp"
"MMETSP0942" -192 "Cafeteria roenbergensis"
"MMETSP0325" -188.1 "Crypthecodinium cohnii"
"MMETSP1424" -180.8 "Oxyrrhis marina"
"MMETSP1159" -175.6 "Picocystis salinarum "
"MMETSP0031" -171.7 "Karenia brevis"
"MMETSP1433" -163.5 "Undescribed Undescribed"
"MMETSP0033" -158.6 "Dolichomastix tenuilepis"
"MMETSP0034" -158.6 "Nephroselmis pyriformis"
"MMETSP0902" -148.5 "Thalassiosira antarctica"
"MMETSP0903" -148.5 "Thalassiosira antarctica"
"MMETSP0904" -148.5 "Thalassiosira antarctica"
"MMETSP0905" -148.5 "Thalassiosira antarctica"
"MMETSP0737" -148.4 "Thalassiosira miniscula"
"MMETSP0267" -148.2 "Prorocentrum minimum"
"MMETSP0593" -147.5 "Skeletonema japonicum"
"MMETSP0169" -136.2 "Corethron pennatum"
"MMETSP0171" -136.2 "Corethron pennatum"
"MMETSP1038" -134.1 "Azadinium spinosum"
"MMETSP0798" -133.2 "Myrionecta rubra"
"MMETSP1339" -128.7 "Fibrocapsa japonica"
"MMETSP1036" -127.7 "Azadinium spinosum"
"MMETSP0027" -122.6 "Karenia brevis"
"MMETSP0734" -122.3 "Fragilariopsis kerguelensis"
"MMETSP0735" -122.3 "Fragilariopsis kerguelensis"
"MMETSP1428" -122.3 "Skeletonema marinoi"
"MMETSP1429" -122.3 "Chaetoceros sp."
"MMETSP1432" -122.3 "Pseudo-nitzschia delicatissima"
"MMETSP0270" -121.4 "Scrippsiella trochoidea"
"MMETSP0125" -118.9 "Aristerostoma sp."
"MMETSP0127" -118.9 "Platyophrya macrostoma"
"MMETSP0208" -118.9 "Strombidium inclinatum"
"MMETSP0209" -118.9 "Litonotus pictus"
"MMETSP0210" -118.9 "Condylostoma magnum"
"MMETSP0649" -118.9 "Karenia brevis"
"MMETSP1317" -118.9 "Undescribed Undescribed"
"MMETSP0797" -94.53 "Dinophysis acuminata"
"MMETSP0205" -90.11 "Euplotes focardii"
"MMETSP0370" -81.55 "Peridinium aciculiferum"
"MMETSP0227" -61.69 "Polarella glacialis"
"MMETSP1150" -59.84 "Emiliania huxleyi"
"MMETSP1151" -59.84 "Emiliania huxleyi"
"MMETSP1152" -59.84 "Emiliania huxleyi"
"MMETSP1153" -59.84 "Emiliania huxleyi"
"MMETSP1157" -59.84 "Emiliania huxleyi"
"MMETSP1085" -55.54 "Pycnococcus sp"
"MMETSP1388" -55.54 "Isochrysis sp"
"MMETSP0573" -55.44 "Karenia brevis"
"MMETSP0030" -53.08 "Karenia brevis"
"MMETSP1408" -52.88 "Thalassiosira weissflogii"
"MMETSP1409" -52.88 "Thalassiosira weissflogii"
"MMETSP1410" -52.88 "Thalassiosira weissflogii"
"MMETSP0718" -48.25 "Chaetoceros curvisetus"
"MMETSP0719" -48.25 "Chaetoceros curvisetus"
"MMETSP0041" -42.96 "Lotharella globosa"
"MMETSP0697" -41.04 "Extubocellulus spinifer"
"MMETSP0699" -41.04 "Extubocellulus spinifer"
"MMETSP1141" -39.18 "non described non described"
"MMETSP1142" -39.18 "non described non described"
"MMETSP0017" -37.57 "Cylindrotheca closterium"
"MMETSP0039" -37.17 "Eutreptiella gymnastica"
"MMETSP0043" -37.17 "Hemiselmis andersenii"
"MMETSP0045" -37.17 "Bigelowiella natans"
"MMETSP0046" -37.17 "Guillardia theta"
"MMETSP0780" -37.17 "Palpitomonas bilix"
"MMETSP1355" -37.17 "Hemiselmis tepida"
"MMETSP1356" -37.17 "Hemiselmis virescens"
"MMETSP1357" -37.17 "Hemiselmis rufescens"
"MMETSP1358" -37.17 "Bigelowiella natans"
"MMETSP1359" -37.17 "Bigelowiella longifila"
"MMETSP0946" -36.24 "Vaucheria litorea"
"MMETSP0014" -31.55 "Nitzschia sp."
"MMETSP0112" -29.91 "Lotharella globosa"
"MMETSP0143" -29.61 "Chrysochromulina polylepis"
"MMETSP0319" -28.76 "Skeletonema marinoi"
"MMETSP0009" -25.75 "Grammatophora oceanica"
"MMETSP0010" -25.75 "Corethron hystrix"
"MMETSP0011" -25.75 "Rhodosorus marinus"
"MMETSP0015" -25.75 "Odontella aurita"
"MMETSP0785" -25.75 "Bolidomonas pacifica"
"MMETSP0786" -25.75 "Thalassionema frauenfeldii"
"MMETSP0789" -25.75 "Rhizosolenia setigera"
"MMETSP0794" -25.75 "Stephanopyxis turris"
"MMETSP0800" -25.75 "Striatella unipunctata"
"MMETSP1057" -25.75 "Cyclotella meneghiniana"
"MMETSP1058" -25.75 "Detonula confervacea"
"MMETSP1059" -25.75 "Thalassiosira sp."
"MMETSP1062" -25.75 "Ditylum brightwellii"
"MMETSP1063" -25.75 "Ditylum brightwellii"
"MMETSP1065" -25.75 "Amphiprora paludosa"
"MMETSP1066" -25.75 "Coscinodiscus wailesii"
"MMETSP1067" -25.75 "Thalassiosira punctigera"
"MMETSP1070" -25.75 "Minutocellus polymorphus"
"MMETSP1071" -25.75 "Thalassiosira sp."
"MMETSP1360" -25.75 "Licmophora paradoxa"
"MMETSP1361" -25.75 "Staurosira complex sp."
"MMETSP1362" -25.75 "Leptocylindrus danicus"
"MMETSP1394" -25.75 "Asterionellopsis glacialis"
"MMETSP1423" -25.75 "Pseudo-nitzschia heimii"
"MMETSP0042" -25.58 "Lotharella amoebiformis"
"MMETSP0705" -24.87 "Asterionellopsis glacialis"
"MMETSP0716" -24.87 "Chaetoceros curvisetus"
"MMETSP0005" -20.73 "Ochromonas sp."
"MMETSP0006" -20.73 "Prymnesium parvum"
"MMETSP0007" -20.73 "Prymnesium parvum"
"MMETSP0008" -20.73 "Prymnesium parvum"
"MMETSP0020" -20.73 "Dinobryon sp."
"MMETSP0810" -20.73 "Eutreptiella gymnastica-like"
"MMETSP0811" -20.73 "Eutreptiella gymnastica-like"
"MMETSP0812" -20.73 "Dinobryon sp."
"MMETSP0814" -20.73 "Prymnesium parvum"
"MMETSP0815" -20.73 "Prymnesium parvum"
"MMETSP1094" -20.73 "Chrysochromulina brevifilum"
"MMETSP1095" -20.73 "Chromulina nebulosa"
"MMETSP1096" -20.73 "Chrysochromulina ericina"
"MMETSP1098" -20.73 "Spumella elongata"
"MMETSP1100" -20.73 "Phaeocystis antarctica"
"MMETSP1102" -20.73 "Geminigera sp."
"MMETSP1106" -20.73 "Mantoniella antarctica"
"MMETSP1114" -20.73 "Neobodo designis"
"MMETSP0013" -13.94 "Skeletonema costatum"
"MMETSP0527" -13.29 "Karenia brevis"
"MMETSP0853" -7.252 "Pseudo-nitzschia fraudulenta"
"MMETSP0898" -7.252 "Thalassiosira weissflogii"
"MMETSP0899" -7.252 "Thalassiosira weissflogii"
"MMETSP0901" -7.252 "Thalassiosira weissflogii"
"MMETSP0972" -7.252 "Thalassiosira oceanica"
"MMETSP1405" -7.252 "Thalassiosira weissflogii"
"MMETSP1406" -7.252 "Thalassiosira weissflogii"
"MMETSP1407" -7.252 "Thalassiosira weissflogii"
"MMETSP1411" -7.252 "Thalassiosira weissflogii"
"MMETSP1412" -7.252 "Thalassiosira weissflogii"
"MMETSP1413" -7.252 "Thalassiosira weissflogii"
"MMETSP1414" -7.252 "Thalassiosira weissflogii"
"MMETSP1415" -7.252 "Thalassiosira weissflogii"
"MMETSP1416" -7.252 "Thalassiosira weissflogii"
"MMETSP1417" -7.252 "Thalassiosira weissflogii"
"MMETSP1418" -7.252 "Thalassiosira weissflogii"
"MMETSP1419" -7.252 "Thalassiosira weissflogii"
"MMETSP1420" -7.252 "Thalassiosira weissflogii"
"MMETSP1421" -7.252 "Thalassiosira weissflogii"
"MMETSP1422" -7.252 "Thalassiosira weissflogii"
"MMETSP0322" -3.147 "Leptocylindrus danicus var. apora"
"MMETSP0111" -1.081 "Lotharella globosa"
"MMETSP0113" -1.081 "Norrisiella sphaerica"
"MMETSP0116" -1.081 "Durinskia baltica"
"MMETSP0117" -1.081 "Durinskia baltica"
"MMETSP0118" -1.081 "Glenodinium foliaceum"
"MMETSP0120" -1.081 "Kryptoperidinium foliaceum"
"MMETSP0121" -1.081 "Kryptoperidinium foliaceum"
"MMETSP0288" -1.081 "Alveolata sp."
"MMETSP0290" -1.081 "Chromera velia"
"MMETSP0308" -1.081 "Gloeochaete witrockiana"
"MMETSP0312" -1.081 "Compsopogon coeruleus"
"MMETSP0313" -1.081 "Porphyridium aerugineum"
"MMETSP0314" -1.081 "Rhodella maculata"
"MMETSP0115" -5.62e-11 "Bicosoecid sp"
"MMETSP0286" -1.24e-11 "Chrysochromulina polylepis"
"MMETSP0234" -9.24e-12 "Debaryomyces hansenii"
"MMETSP0878" -6.47e-12 "Thalassiosira weissflogii"
"MMETSP0879" -6.47e-12 "Thalassiosira weissflogii"
"MMETSP0880" -6.47e-12 "Thalassiosira weissflogii"
"MMETSP0881" -6.47e-12 "Thalassiosira weissflogii"
"MMETSP0052" -3.46e-12 "Polytomella parva"
"MMETSP0233" -2.88e-12 "Debaryomyces hansenii"
"MMETSP0317" -2.54e-12 "Amphora coffeaeformis"
"MMETSP0160" -2.49e-12 "Odontella Sinensis"
"MMETSP0164" -1.24e-12 "Coccolithus pelagicus ssp braarudi"
"MMETSP0713" -5.19e-13 "Asterionellopsis glacialis"
"MMETSP0419" -5.04e-13 "Tetraselmis sp."
"MMETSP1380" -4.41e-13 "Euplotes crassus"
"MMETSP0661" -1.21e-13 "Alexandrium margalefi"
"MMETSP0316" -9.24e-14 "Amphora coffeaeformis"
"MMETSP0693" -6.39e-14 "Thalassionema nitzschioides"
"MMETSP0817" 2.63e-13 "Tetraselmis striata"
"MMETSP0818" 2.63e-13 "Tetraselmis striata"
"MMETSP0819" 2.63e-13 "Tetraselmis striata"
"MMETSP0820" 2.63e-13 "Tetraselmis striata"
"MMETSP0580" 2.77e-13 "Dactyliosolen fragilissimus"
"MMETSP0411" 8.17e-13 "Heterosigma akashiwo"
"MMETSP1018" 8.17e-13 "Anophryoides haemophila"
"MMETSP1019" 8.17e-13 "Anophryoides haemophila"
"MMETSP0795" 9.09e-13 "Amoebophrya sp."
"MMETSP0200" 1e-12 "Chaetoceros sp."
"MMETSP0318" 1.04e-12 "Amphora coffeaeformis"
"MMETSP0235" 1.1e-12 "Debaryomyces hansenii"
"MMETSP1396" 2.07e-12 "Pseudokeronopsis sp."
"MMETSP1039" 3.02e-12 "Skeletonema marinoi"
"MMETSP1040" 3.02e-12 "Skeletonema marinoi"
"MMETSP0232" 1.45e-11 "Debaryomyces hansenii"
"MMETSP0287" 1.59e-11 "Chrysochromulina rotalis"
"MMETSP0947" 2.19e-11 "Chattonella subsalsa"
"MMETSP0948" 2.19e-11 "Chattonella subsalsa"
"MMETSP0949" 2.19e-11 "Chattonella subsalsa"
"MMETSP0950" 2.19e-11 "Chattonella subsalsa"
"MMETSP0397" 2.41e-11 "Cyclophora tenuis"
"MMETSP0103" 2.9e-11 "Paraphysomonas imperforata"
"MMETSP0114" 4.9e-11 "Goniomonas sp"
"MMETSP0104" 6.59e-11 "Paraphysomonas imperforata"
"MMETSP0409" 0.4119 "Heterosigma akashiwo"
"MMETSP0410" 0.4119 "Heterosigma akashiwo"
"MMETSP0414" 0.4119 "Heterosigma akashiwo"
"MMETSP0415" 0.4119 "Heterosigma akashiwo"
"MMETSP0416" 0.4119 "Heterosigma akashiwo"
"MMETSP0434" 0.4119 "Favella taraikaensis"
"MMETSP0436" 0.4119 "Favella taraikaensis"
"MMETSP0469" 0.4119 "Oxyrrhis marina"
"MMETSP0470" 0.4119 "Oxyrrhis marina"
"MMETSP0321" 3.147 "Leptocylindrus danicus var. danicus"
"MMETSP0698" 7.479 "Extubocellulus spinifer"
"MMETSP0091" 8.563 "Chaetoceros affinis"
"MMETSP0092" 8.563 "Chaetoceros affinis"
"MMETSP0146" 8.836 "Chrysochromulina polylepis"
"MMETSP0528" 13.29 "Karenia brevis"
"MMETSP0955" 15.26 "Aplanochytrium sp"
"MMETSP0957" 15.26 "Aplanochytrium sp"
"MMETSP0958" 15.26 "Aurantiochytrium limacinum"
"MMETSP0959" 15.26 "Aurantiochytrium limacinum"
"MMETSP0960" 15.26 "Aurantiochytrium limacinum"
"MMETSP0962" 15.26 "Schizochytrium aggregatum"
"MMETSP0965" 15.26 "Schizochytrium aggregatum"
"MMETSP0292" 17.77 "Heterosigma akashiwo"
"MMETSP0295" 17.77 "Heterosigma akashiwo"
"MMETSP0296" 18.43 "Heterosigma akashiwo"
"MMETSP1363" 18.43 "Gephyrocapsa oceanica"
"MMETSP1364" 18.43 "Gephyrocapsa oceanica"
"MMETSP1365" 18.43 "Gephyrocapsa oceanica"
"MMETSP1366" 18.43 "Gephyrocapsa oceanica"
"MMETSP1090" 18.87 "Isochrysis sp"
"MMETSP0294" 19.74 "Heterosigma akashiwo"
"MMETSP0141" 24.27 "Pseudo-nitzschia australis"
"MMETSP1160" 27.36 "Pinguiococcus pyrenoidosus"
"MMETSP1170" 27.36 "Sarcinochrysis sp"
"MMETSP1171" 27.36 "Helicotheca tamensis"
"MMETSP1174" 27.36 "Dictyocha speculum"
"MMETSP0320" 28.76 "Skeletonema marinoi"
"MMETSP0098" 29.1 ""
"MMETSP1010" 32.73 "Ditylum brightwellii"
"MMETSP0945" 36.24 "Vaucheria litorea"
"MMETSP0093" 36.65 "Alexandrium monilatum"
"MMETSP0090" 38.17 "Chaetoceros affinis"
"MMETSP1367" 38.68 "Symbiodinium sp."
"MMETSP1369" 38.68 "Symbiodinium sp."
"MMETSP1370" 38.68 "Symbiodinium sp."
"MMETSP1374" 38.68 "Symbiodinium sp."
"MMETSP1377" 38.68 "Symbiodinium sp."
"MMETSP0145" 41.92 "Chrysochromulina polylepis"
"MMETSP0492" 44.33 "Thalassiosira gravida"
"MMETSP0493" 44.33 "Thalassiosira gravida"
"MMETSP0494" 44.33 "Thalassiosira gravida"
"MMETSP0578" 44.33 "Skeletonema grethea"
"MMETSP0603" 44.33 "Skeletonema menzelii"
"MMETSP0604" 44.33 "Skeletonema menzelii"
"MMETSP0910" 44.33 "Thalassiosira rotula"
"MMETSP0911" 44.33 "Thalassiosira rotula"
"MMETSP0912" 44.33 "Thalassiosira rotula"
"MMETSP0913" 44.33 "Thalassiosira rotula"
"MMETSP0918" 44.33 "Skeletonema marinoi"
"MMETSP0920" 44.33 "Skeletonema marinoi"
"MMETSP0998" 44.33 "Ditylum brightwellii"
"MMETSP1001" 44.33 "Ditylum brightwellii"
"MMETSP1005" 44.33 "Ditylum brightwellii"
"MMETSP1012" 44.33 "Ditylum brightwellii"
"MMETSP1169" 47.19 "Pyramimonas obovata"
"MMETSP1172" 47.19 "Timspurckia oligopyrenoides"
"MMETSP1173" 47.19 "Rhizochromulina marina cf"
"MMETSP1176" 47.19 "Synedropsis recta cf"
"MMETSP1352" 47.19 "Stauroneis constricta"
"MMETSP0315" 47.21 "Rhodosorus marinus"
"MMETSP0147" 52.59 "Chrysochromulina polylepis"
"MMETSP0574" 55.44 "Karenia brevis"
"MMETSP1013" 55.94 "Ditylum brightwellii"
"MMETSP0974" 62.03 "non described non described"
"MMETSP0975" 62.03 "non described non described"
"MMETSP0976" 62.03 "non described non described"
"MMETSP0982" 62.03 "non described non described"
"MMETSP0983" 62.03 "non described non described"
"MMETSP0984" 62.03 "non described non described"
"MMETSP0985" 62.03 "non described non described"
"MMETSP0986" 62.03 "non described non described"
"MMETSP0987" 62.03 "non described non described"
"MMETSP0988" 62.03 "non described non described"
"MMETSP0989" 62.03 "non described non described"
"MMETSP1143" 62.03 "non described non described"
"MMETSP1144" 62.03 "non described non described"
"MMETSP0323" 62.72 "Crypthecodinium cohnii"
"MMETSP0324" 62.72 "Crypthecodinium cohnii"
"MMETSP0326" 62.72 "Crypthecodinium cohnii"
"MMETSP0099" 67.2 ""
"MMETSP0100" 67.2 ""
"MMETSP0717" 77.72 "Chaetoceros curvisetus"
"MMETSP1155" 85.34 "Emiliania huxleyi"
"MMETSP1392" 87.99 "Chlamydomonas chlamydogama"
"MMETSP0758" 96 "Percolomonas cosmopolitus"
"MMETSP0759" 96 "Percolomonas cosmopolitus"
"MMETSP1154" 99.33 "Emiliania huxleyi"
"MMETSP1041" 99.41 "Hemiselmis andersenii"
"MMETSP1042" 99.41 "Hemiselmis andersenii"
"MMETSP1043" 99.41 "Hemiselmis andersenii"
"MMETSP1047" 99.41 "Rhodomonas salina"
"MMETSP1048" 99.41 "Hanusia phi"
"MMETSP1050" 99.41 "Cryptomonas curvata"
"MMETSP1052" 99.41 "Bigelowiella natans"
"MMETSP1054" 99.41 "Bigelowiella natans"
"MMETSP1055" 99.41 "Bigelowiella natans"
"MMETSP1089" 106 "Gloeochaete wittrockiana"
"MMETSP0086" 106.7 "Undescribed Undescribed"
"MMETSP0087" 106.7 "Undescribed Undescribed"
"MMETSP0102" 106.7 "Pteridomonas danica"
"MMETSP0106" 106.7 "Acanthoeca-like sp."
"MMETSP0107" 106.7 "Goniomonas pacifica"
"MMETSP0930" 110.6 "Ostreococcus mediterraneus"
"MMETSP0932" 110.6 "Ostreococcus mediterraneus"
"MMETSP0933" 110.6 "Ostreococcus prasinos"
"MMETSP0936" 110.6 "Ostreococcus mediterraneus"
"MMETSP0937" 110.6 "Ostreococcus mediterraneus"
"MMETSP0938" 110.6 "Ostreococcus mediterraneus"
"MMETSP0939" 110.6 "Ostreococcus lucimarinus"
"MMETSP0724" 111.7 "Amphiprora sp."
"MMETSP0725" 111.7 "Amphiprora sp."
"MMETSP0726" 111.7 "Amphiprora sp."
"MMETSP0727" 111.7 "Amphiprora sp."
"MMETSP0744" 111.7 "Nitzschia punctata"
"MMETSP0745" 111.7 "Nitzschia punctata"
"MMETSP0746" 111.7 "Nitzschia punctata"
"MMETSP0747" 111.7 "Nitzschia punctata"
"MMETSP1156" 114.5 "Emiliania huxleyi"
"MMETSP0648" 118.9 "Karenia brevis"
"MMETSP1086" 119.3 "Cyanoptyche gloeocystis "
"MMETSP0108" 121.2 "Goniomonas pacifica"
"MMETSP0101" 123.3 "Pteridomonas danica"
"MMETSP0213" 126 "Euplotes harpa"
"MMETSP1180" 126.5 "Chlamydomonas cf sp"
"MMETSP0900" 129.6 "Thalassiosira weissflogii"
