"EnsemblId"	"GeneChr"	"GeneStart"	"GeneEnd"	"GeneLength"	"GeneType"	"GeneName"	"NumberOfTranscripts"	"AverageExonLength"	"AverageNumberOfExonsPerTranscript"
"16483"	"ENSG00000187522"	"10"	14838164	14871741	33577	"protein_coding"	"HSPA14"	5	173.8125	6.4
"16552"	"ENSG00000187762"	"6"	35023522	35023831	309	"processed_pseudogene"	"HSPE1P11"	1	309	1
"19724"	"ENSG00000203914"	"1"	91642516	91644082	1566	"processed_pseudogene"	"HSP90B3P"	1	1566	1
"19878"	"ENSG00000204388"	"6"	31827735	31830255	2520	"protein_coding"	"HSPA1B"	1	2520	1
"19879"	"ENSG00000204389"	"6"	31815464	31817946	2482	"protein_coding"	"HSPA1A"	2	1463	1.5
"19880"	"ENSG00000204390"	"6"	31809619	31815065	5446	"protein_coding"	"HSPA1L"	1	1271	2
"20144"	"ENSG00000205100"	"4"	189472965	189475192	2227	"transcribed_processed_pseudogene"	"HSP90AA4P"	2	695.6	2.5
"20359"	"ENSG00000205940"	"4"	13333414	13338657	5243	"transcribed_processed_pseudogene"	"HSP90AB2P"	2	689.6	2.5
"20362"	"ENSG00000205955"	"3"	184115352	184117898	2546	"transcribed_processed_pseudogene"	"HSP90AA5P"	1	1095	2
"22384"	"ENSG00000213430"	"5"	21882585	21884310	1725	"processed_pseudogene"	"HSPD1P1"	1	1725	1
"23051"	"ENSG00000215005"	"21"	28887280	28889272	1992	"processed_pseudogene"	"HSPD1P7"	1	842	2
"23182"	"ENSG00000215357"	"13"	78849231	78851208	1977	"processed_pseudogene"	"HSPD1P8"	1	828	2
"23449"	"ENSG00000216990"	"6"	87298772	87300447	1675	"processed_pseudogene"	"HSPD1P10"	1	1675	1
"23557"	"ENSG00000217897"	"1"	39304294	39304898	604	"processed_pseudogene"	"HSPE1P8"	1	143	2
"23661"	"ENSG00000218792"	"6"	152705735	152706128	393	"processed_pseudogene"	"HSPD1P16"	1	393	1
"23734"	"ENSG00000219395"	"6"	151411259	151413945	2686	"processed_pseudogene"	"HSPA8P15"	1	392	2
"23912"	"ENSG00000220867"	"6"	157924402	157924676	274	"processed_pseudogene"	"HSPE1P26"	1	274	1
"25160"	"ENSG00000224059"	"7"	85027828	85029692	1864	"processed_pseudogene"	"HSPA8P16"	1	1864	1
"25398"	"ENSG00000224411"	"11"	27888838	27891033	2195	"processed_pseudogene"	"HSP90AA2P"	1	2195	1
"25656"	"ENSG00000224773"	"X"	114774828	114776775	1947	"processed_pseudogene"	"HSPA8P7"	1	1947	1
"25919"	"ENSG00000225158"	"1"	10895761	10895998	237	"processed_pseudogene"	"HSPE1P24"	1	237	1
"25963"	"ENSG00000225217"	"1"	161606291	161608217	1926	"unprocessed_pseudogene"	"HSPA7"	1	1926	1
"26424"	"ENSG00000225900"	"2"	39098149	39098445	296	"processed_pseudogene"	"HSPE1P13"	1	296	1
"26967"	"ENSG00000226666"	"2"	221961737	221963765	2028	"processed_pseudogene"	"HSPA9P1"	1	2028	1
"27208"	"ENSG00000227000"	"1"	33838523	33840140	1617	"processed_pseudogene"	"HSPD1P14"	1	1617	1
"27896"	"ENSG00000228036"	"13"	37993085	37994720	1635	"processed_pseudogene"	"HSPD1P9"	1	1635	1
"28152"	"ENSG00000228401"	"9"	136648610	136660421	11811	"antisense_RNA"	"HSPC324"	1	277.5	2
"28256"	"ENSG00000228557"	"9"	30988085	30990572	2487	"processed_pseudogene"	"HSPA8P17"	1	690	2
"28610"	"ENSG00000229091"	"7"	10451311	10453252	1941	"processed_pseudogene"	"HSPA8P8"	1	1941	1
"29158"	"ENSG00000229900"	"20"	45539983	45540227	244	"processed_pseudogene"	"HSPD1P21"	1	244	1
"29279"	"ENSG00000230067"	"3"	36767117	36784167	17050	"transcribed_processed_pseudogene"	"HSPD1P6"	2	750.333333333333	1.5
"29289"	"ENSG00000230081"	"9"	112280978	112281335	357	"processed_pseudogene"	"HSPE1P28"	1	104.5	2
"29390"	"ENSG00000230216"	"X"	49233956	49234501	545	"processed_pseudogene"	"HSPB1P2"	1	545	1
"30629"	"ENSG00000232015"	"1"	77853355	77853893	538	"processed_pseudogene"	"HSPE1P25"	1	124.5	2
"31087"	"ENSG00000232690"	"2"	234455157	234455783	626	"unprocessed_pseudogene"	"HSPE1P9"	1	154.5	2
"31256"	"ENSG00000232917"	"1"	203903723	203904013	290	"processed_pseudogene"	"HSPE1P6"	1	290	1
"31283"	"ENSG00000232953"	"3"	19940269	19943310	3041	"processed_pseudogene"	"HSPA8P18"	1	641.666666666667	3
"32126"	"ENSG00000234176"	"X"	121203182	121205014	1832	"processed_pseudogene"	"HSPA8P1"	1	1832	1
"32385"	"ENSG00000234564"	"X"	124204499	124205806	1307	"processed_pseudogene"	"HSPA8P20"	1	502.5	2
"32548"	"ENSG00000234788"	"10"	26714622	26715832	1210	"processed_pseudogene"	"HSPA8P3"	1	259	3
"32605"	"ENSG00000234878"	"20"	39932922	39933239	317	"processed_pseudogene"	"HSPE1P1"	1	317	1
"32774"	"ENSG00000235112"	"1"	21161475	21162081	606	"processed_pseudogene"	"HSPE1P27"	1	147	2
"32791"	"ENSG00000235137"	"13"	96883842	96885821	1979	"processed_pseudogene"	"HSP90AB6P"	1	1979	1
"33263"	"ENSG00000235838"	"10"	9721963	9724416	2453	"processed_pseudogene"	"HSP90AB7P"	1	2453	1
"33278"	"ENSG00000235864"	"2"	209072597	209074148	1551	"processed_pseudogene"	"HSPA8P6"	1	1551	1
"33319"	"ENSG00000235930"	"12"	10770305	10770605	300	"processed_pseudogene"	"HSPE1P12"	1	300	1
"33407"	"ENSG00000236060"	"9"	72007881	72008136	255	"processed_pseudogene"	"HSPB1P1"	1	255	1
"34152"	"ENSG00000237140"	"16"	26062750	26063097	347	"processed_pseudogene"	"HSPE1P16"	1	347	1
"34269"	"ENSG00000237306"	"9"	92027498	92027824	326	"processed_pseudogene"	"HSPE1P22"	1	326	1
"34802"	"ENSG00000238059"	"6"	133510386	133510693	307	"processed_pseudogene"	"HSPE1P21"	1	307	1
"36156"	"ENSG00000241478"	"3"	137880295	137882237	1942	"processed_pseudogene"	"HSPA8P9"	1	1942	1
"37800"	"ENSG00000248159"	"8"	30237382	30240997	3615	"processed_pseudogene"	"HSPA8P11"	1	473.5	4
"37908"	"ENSG00000248351"	"5"	136381268	136381511	243	"processed_pseudogene"	"HSPD1P18"	1	243	1
"38081"	"ENSG00000248610"	"5"	130140031	130141950	1919	"processed_pseudogene"	"HSPA8P4"	1	1919	1
"38456"	"ENSG00000249193"	"4"	144845625	144847344	1719	"processed_pseudogene"	"HSPD1P5"	1	1719	1
"38687"	"ENSG00000249557"	"5"	19233366	19234487	1121	"processed_pseudogene"	"HSPD1P15"	1	1121	1
"38811"	"ENSG00000249768"	"5"	126737438	126737995	557	"processed_pseudogene"	"HSPE1P10"	1	557	1
"39204"	"ENSG00000250356"	"4"	74917822	74918138	316	"processed_pseudogene"	"HSPE1P23"	1	142	2
"39866"	"ENSG00000251348"	"5"	95768999	95770700	1701	"processed_pseudogene"	"HSPD1P11"	1	1701	1
"40063"	"ENSG00000251614"	"3"	132645831	132650383	4552	"processed_pseudogene"	"HSPA8P19"	1	302.4	5
"41355"	"ENSG00000253425"	"8"	46549089	46550802	1713	"unprocessed_pseudogene"	"HSPA8P13"	1	235	2
"42211"	"ENSG00000254445"	"11"	111912736	111926871	14135	"protein_coding"	"HSPB2-C11orf52"	2	300.625	4
"42847"	"ENSG00000255163"	"11"	118208932	118209211	279	"processed_pseudogene"	"HSPE1P18"	1	279	1
"43372"	"ENSG00000255964"	"12"	8015024	8016406	1382	"processed_pseudogene"	"HSPD1P12"	1	533.5	2
"43555"	"ENSG00000256356"	"12"	4097451	4099519	2068	"processed_pseudogene"	"HSPA8P5"	1	2068	1
"43815"	"ENSG00000257021"	"12"	126912034	126912322	288	"processed_pseudogene"	"HSPE1P20"	1	288	1
"44073"	"ENSG00000257539"	"12"	111381867	111385638	3771	"processed_pseudogene"	"HSPA8P14"	1	360	5
"44091"	"ENSG00000257576"	"12"	56511002	56512703	1701	"processed_pseudogene"	"HSPD1P4"	1	1701	1
"44393"	"ENSG00000258153"	"12"	101873316	101873623	307	"processed_pseudogene"	"HSPE1P4"	1	307	1
"44742"	"ENSG00000258645"	"14"	63601509	63601814	305	"processed_pseudogene"	"HSPE1P2"	1	305	1
"45666"	"ENSG00000259706"	"15"	99257632	99260015	2383	"processed_pseudogene"	"HSP90B2P"	1	2383	1
"45698"	"ENSG00000259746"	"15"	90634725	90635033	308	"processed_pseudogene"	"HSPE1P3"	1	308	1
"46122"	"ENSG00000260325"	"17"	42121431	42123352	1921	"protein_coding"	"HSPB9"	1	1921	1
"46905"	"ENSG00000261395"	"16"	68686399	68686670	271	"transcribed_processed_pseudogene"	"HSPE1P5"	1	271	1
"51161"	"ENSG00000270757"	"2"	197500413	197550726	50313	"protein_coding"	"HSPE1-MOB4"	1	97.8888888888889	9
"51283"	"ENSG00000270945"	"16"	74612596	74613221	625	"processed_pseudogene"	"HSPE1P7"	1	159.5	2
"51337"	"ENSG00000271024"	"3"	90261414	90261708	294	"processed_pseudogene"	"HSPE1P19"	1	294	1
"51713"	"ENSG00000271612"	"8"	102451763	102452483	720	"processed_pseudogene"	"HSPE1P14"	1	150	2
