"genes" "slopes" "p_val_slope" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"52" "dN.dS_ENSG00000174437" 1.60961467096119e-05 1.80456016570879e-06 38 0.464178821891258 0.44969716842886 0.0693330872470991
"53" "dN.dS_ENSG00000176208" 9.15630856528524e-05 7.88992654760875e-14 36 0.801129298804716 0.795447278770565 0.173314649228705
"54" "dN.dS_ENSG00000107882" 2.02172527532118e-05 7.85593419342632e-07 38 0.487127752907742 0.473266340824167 0.0808907856975022
"55" "dN.dS_ENSG00000174243" 9.45758942455406e-06 0.00609375599653649 34 0.206547449766282 0.182503433092533 0.064022166637633
"56" "dN.dS_ENSG00000152127" 8.48335767102746e-06 2.45777450745458e-07 37 0.527419065311258 0.51429181712546 0.0324440164276884
"57" "dN.dS_ENSG00000087087" 7.42826471595228e-06 0.000113661335715256 34 0.367444105359188 0.348275744915527 0.0389379253369008
"58" "dN.dS_ENSG00000120616" 2.57322643105394e-05 1.3572549585787e-06 35 0.501448791767807 0.486785520937448 0.106544524322375
"59" "dN.dS_ENSG00000072364" 2.47079094058164e-05 1.49886794126529e-08 34 0.626543155100079 0.615226281012203 0.079250513591008
"60" "dN.dS_ENSG00000108001" 2.84696868794296e-05 1.77030711150346e-05 36 0.413488873926152 0.396731413181185 0.130907927575519
"61" "dN.dS_ENSG00000197122" 4.24403315834633e-06 6.34685341033388e-05 36 0.370828780022883 0.352852459452108 0.021104292892048
"62" "dN.dS_ENSG00000154380" 3.81631332450505e-05 5.70836224988209e-10 35 0.681804357443441 0.672445662074131 0.107502039101433
"63" "dN.dS_ENSG00000096384" 5.335571817796e-06 3.68407599288178e-05 40 0.357267508213103 0.340787187910875 0.0281746363633483
"64" "dN.dS_ENSG00000145632" 8.25569718410851e-06 5.63148294667204e-07 33 0.547884293678915 0.533755677856381 0.0291552246600266
"65" "dN.dS_ENSG00000090372" 1.24888222632117e-05 3.67237591547791e-05 32 0.427636431908922 0.409173091002759 0.0591264725875978
"66" "dN.dS_ENSG00000125304" 3.01648960378914e-05 6.63808234685872e-15 38 0.809835030886303 0.804695437126473 0.0557859221783484
"67" "dN.dS_ENSG00000186260" 3.55353537219055e-05 2.16641678612466e-11 37 0.716462737706753 0.708586702643052 0.0914739133210284
"68" "dN.dS_ENSG00000198720" 1.11219804054836e-05 1.15927592770348e-06 32 0.538966416094498 0.524094365000773 0.0413817833831397
"69" "dN.dS_ENSG00000196419" 4.19758525587516e-05 4.56162336671234e-08 33 0.612384489414949 0.600271504709166 0.126042287300627
"70" "dN.dS_ENSG00000164076" 3.33639484837947e-05 1.44359663720799e-14 36 0.819414628573756 0.814255046533006 0.0602539665625621
"71" "dN.dS_ENSG00000071243" 1.25777322960253e-05 3.03183122815413e-07 36 0.532098930835134 0.518730328858995 0.0437454296320953
"72" "dN.dS_ENSG00000116106" 1.11937941535685e-05 0.00026978288693226 38 0.304663188101831 0.285870301293773 0.0677979053873224
"73" "dN.dS_ENSG00000124702" 2.2132918327744e-05 7.2964209789356e-06 38 0.42343627895664 0.407853475685198 0.103542738166007
"74" "dN.dS_ENSG00000156261" 1.75729986977141e-05 1.20945944721407e-08 34 0.631290281145312 0.620117259361837 0.0522292640654642
"75" "dN.dS_ENSG00000129083" 6.19423043548848e-06 1.66232114066066e-05 38 0.398091288093204 0.381823485068697 0.0305360372100158
"76" "dN.dS_ENSG00000094631" 6.15002234799957e-05 3.80103563340518e-09 32 0.679081001700798 0.668728775949211 0.17223544293246
"77" "dN.dS_ENSG00000077147" 2.24569827115257e-05 1.70688285929458e-05 32 0.454301970497093 0.436698808255064 0.100364844621169
"78" "dN.dS_ENSG00000036549" 3.60909184600287e-05 3.03021557110411e-11 34 0.742364319264931 0.734557177424474 0.0873500261035492
"79" "dN.dS_ENSG00000198730" 1.38494614800134e-05 3.72579335691491e-09 39 0.60384886091981 0.593423830944016 0.0446997913764686
"80" "dN.dS_ENSG00000133216" 1.18180187522518e-05 9.02488204734196e-08 36 0.562765182251731 0.550272758887495 0.0414287664343376
"81" "dN.dS_ENSG00000083307" 1.43188279845861e-05 2.15964382986086e-07 35 0.551409465372112 0.538215626118351 0.0500475675759303
"82" "dN.dS_ENSG00000047056" 1.30607843306237e-05 1.8147866152175e-06 36 0.483018916355573 0.468248028251447 0.0553547060822858
"83" "dN.dS_ENSG00000153046" 2.01578775826622e-05 7.85284460563637e-07 32 0.550139619796123 0.535627994628256 0.0763000228549726
"84" "dN.dS_ENSG00000183814" 4.2405237197528e-05 1.01002375507824e-07 35 0.570628199886106 0.557999617529816 0.149915047012292
"85" "dN.dS_ENSG00000102974" 7.50193952778672e-06 2.2081914753341e-07 36 0.54031527004041 0.527181420612993 0.0239837268075674
"86" "dN.dS_ENSG00000124571" 2.21979464624521e-05 1.77874107112674e-07 37 0.535650848344872 0.522752260798896 0.083810000237044
"87" "dN.dS_ENSG00000118454" 2.63469049246312e-05 5.36881378556169e-06 39 0.423995959721197 0.408837958661229 0.122367979928802
"88" "dN.dS_ENSG00000149136" 6.20864743574414e-06 0.00205398780953824 36 0.240626083368895 0.218929685750864 0.0420857771681652
"89" "dN.dS_ENSG00000102226" 3.36355434010628e-05 2.24986319217758e-10 32 0.731989588503615 0.72334409135857 0.0865296196333247
"90" "dN.dS_ENSG00000139687" 2.16948353171761e-05 1.17164524810531e-09 38 0.63682940711042 0.627013985680972 0.0656827732037552
"91" "dN.dS_ENSG00000109111" 8.29550686738315e-06 0.000545245101307924 38 0.279175325044502 0.259693577072732 0.0534310372651061
"92" "dN.dS_ENSG00000108262" 1.78581462896019e-05 2.76876726674174e-07 37 0.524350700461967 0.511138219919243 0.0678594409311525
"93" "dN.dS_ENSG00000082641" 1.29239039892474e-05 2.59414830801259e-09 36 0.641798796134132 0.631564476023678 0.0394644263206402
"94" "dN.dS_ENSG00000091622" 1.27292585665291e-05 4.90134493075006e-10 38 0.653319107971868 0.64394935413327 0.0371802432765741
"95" "dN.dS_ENSG00000147548" 2.6641667704199e-05 2.91107792889471e-12 36 0.755971284511291 0.748999035497327 0.0610683767757621
"96" "dN.dS_ENSG00000131725" 3.47389445400772e-05 2.64140787902671e-11 36 0.723519186783635 0.715619734977453 0.0865464484865801
"97" "dN.dS_ENSG00000136448" 1.40319619984562e-05 2.26183780113618e-10 36 0.687840803742786 0.678921969564008 0.0359856508947576
"98" "dN.dS_ENSG00000067842" 9.89391477634427e-06 3.22951156829963e-10 36 0.681500755871802 0.672400777468139 0.025865578723907
"99" "dN.dS_ENSG00000154727" 8.37631724732056e-06 2.38513229550608e-08 31 0.651570356933683 0.639956035498139 0.020116147743735
"100" "dN.dS_ENSG00000126583" 1.4436847690323e-05 2.78561816136695e-07 37 0.524193930858889 0.510977095604969 0.0555118245815268
"101" "dN.dS_ENSG00000196961" 7.35868748414553e-06 0.00058047708171991 36 0.290319236168455 0.270042642916125 0.0466824531813097
"102" "dN.dS_ENSG00000110048" 1.42956755820392e-05 2.57798667657651e-06 36 0.472832865994217 0.457770947879766 0.0605484640029251
"103" "dN.dS_ENSG00000151612" 2.13224249900127e-05 4.77125680674423e-10 37 0.663980961397838 0.654647099214445 0.0619061242459249
"104" "dN.dS_ENSG00000168522" 3.97049194045511e-05 1.00336806161306e-08 31 0.670823104340677 0.659850541152032 0.10612262868202
"105" "dN.dS_ENSG00000095787" 3.91230468769332e-05 8.83209025005999e-09 37 0.605764592507353 0.594813608965891 0.127667200676121
"106" "dN.dS_ENSG00000196323" 2.22771175367077e-05 4.01230698499692e-09 35 0.643685206918708 0.633205360063376 0.0689737730306234
"107" "dN.dS_ENSG00000143376" 2.21926766919659e-05 0.000295873818613558 34 0.331493506582273 0.311235734054463 0.124652825606156
"108" "dN.dS_ENSG00000176444" 2.31741994332744e-05 2.9526850261141e-06 39 0.441310551832138 0.426608197932983 0.0965682989994796
"109" "dN.dS_ENSG00000135040" 1.17793804431736e-05 9.55530325920887e-05 33 0.383001635154275 0.363720436252846 0.056032897737449
"110" "dN.dS_ENSG00000173039" 2.7833975874811e-05 4.10664118350416e-08 32 0.626705813088894 0.61466406512402 0.0861113246903065
"111" "dN.dS_ENSG00000122299" 2.28186324286183e-05 7.47267407499016e-08 38 0.547080246738814 0.534839172326349 0.08375331837847
"112" "dN.dS_ENSG00000162706" 2.67779634569584e-05 4.21423504387095e-11 38 0.695898985903695 0.687680039576768 0.0709774223553595
"113" "dN.dS_ENSG00000133422" 2.27528885974789e-05 9.93418783489419e-09 32 0.658865181334938 0.647860832345743 0.0712594519607913
"114" "dN.dS_ENSG00000198853" 5.08972811981052e-05 1.42683061585483e-16 35 0.869016544662448 0.865164090093696 0.0808918865190461
"115" "dN.dS_ENSG00000166477" 1.52489802618612e-05 2.85689687668037e-10 36 0.683697278029825 0.674660057402106 0.0429111159474025
"116" "dN.dS_ENSG00000087258" 1.05525063629516e-05 1.83391399167994e-08 33 0.633488994731897 0.622035525817268 0.0313940565461038
"117" "dN.dS_ENSG00000122515" 2.35422030758919e-05 1.52929421017164e-09 34 0.674127648905592 0.664252729175458 0.068788962323051
"118" "dN.dS_ENSG00000145431" 3.11341015793996e-05 4.36261653161465e-09 35 0.641952530642578 0.631421722720301 0.092132996247477
"119" "dN.dS_ENSG00000196700" 2.16706108443175e-05 4.30370975952282e-10 34 0.69793819958384 0.688784811692441 0.0589455342688607
"120" "dN.dS_ENSG00000068366" 1.6751967504084e-05 1.28014001019597e-13 35 0.805014775863659 0.799279916330237 0.0332538468689938
"121" "dN.dS_ENSG00000079432" 3.06282510403803e-05 1.28371950132826e-13 34 0.814509470670454 0.808888545539256 0.0552033834028386
"122" "dN.dS_ENSG00000126581" 2.07614241822287e-05 3.21838498819935e-05 33 0.422035158824495 0.403973757537761 0.0982662012782764
"123" "dN.dS_ENSG00000079805" 1.38239825249517e-05 2.94536757919495e-07 36 0.532854677971192 0.519507668770369 0.0497969573446014
"124" "dN.dS_ENSG00000151617" 2.59839237791931e-05 4.58944514850425e-15 38 0.813569363693314 0.808530697847187 0.0498674799771643
"125" "dN.dS_ENSG00000157212" 4.01890083504903e-05 2.10374549908786e-10 32 0.733135760809196 0.724527236964331 0.101164599714666
"126" "dN.dS_ENSG00000165494" 1.70190706070036e-05 1.65198076744983e-10 36 0.693330945895725 0.684568972921317 0.0459537605231969
"127" "dN.dS_ENSG00000100664" 2.23337776779496e-05 7.02379234179858e-07 34 0.530632493702446 0.516409235935854 0.0812208248333856
"128" "dN.dS_ENSG00000062485" 3.22378806503331e-05 1.18727494774464e-13 34 0.81537982766049 0.809785276983535 0.0647623319164252
"129" "dN.dS_ENSG00000161405" 5.56725039877466e-05 9.56458680152141e-07 38 0.481782805356184 0.467776935230675 0.231484734845593
"130" "dN.dS_ENSG00000008441" 2.98980895915745e-05 9.43494955766379e-15 38 0.806208388008368 0.800970776873459 0.0587752001526081
"131" "dN.dS_ENSG00000215421" 6.22978934734926e-05 1.65944444305388e-11 32 0.773110897076356 0.765791893756239 0.132002687168281
"132" "dN.dS_ENSG00000198963" 2.02806813678903e-05 1.864611021055e-12 36 0.76205401159601 0.755255554784467 0.0455268883202464
"133" "dN.dS_ENSG00000154832" 1.21318505538862e-05 1.44212699752861e-05 35 0.429428654465957 0.412647144303192 0.0536802046266937
"134" "dN.dS_ENSG00000136231" 1.16676844777602e-05 6.87576226018647e-06 34 0.463032380578327 0.446760634535246 0.0484629942938408
"135" "dN.dS_ENSG00000132155" 8.35976759969063e-06 0.000855344124331979 34 0.289563213759164 0.268034826297321 0.045165802654713
"136" "dN.dS_ENSG00000136848" 2.27055067177086e-05 9.72976953664017e-12 38 0.71883548925691 0.711236448426016 0.0567081765364748
"137" "dN.dS_ENSG00000107864" 1.36478955165715e-05 3.13160301079657e-10 32 0.72627420169617 0.717444337234756 0.0348336903495346
"138" "dN.dS_ENSG00000172239" 2.35356972449768e-05 6.91409749248957e-05 32 0.404717160882055 0.385514488652443 0.111978749125379
"139" "dN.dS_ENSG00000141551" 1.39818996635273e-05 1.89467258113991e-08 31 0.656793748909693 0.645353540540016 0.0384992543765799
"140" "dN.dS_ENSG00000100852" 1.49348027436707e-05 1.93077506818006e-11 37 0.718252686455082 0.710426372189946 0.0373230040753675
"141" "dN.dS_ENSG00000080709" 1.77463196661253e-05 6.83041241365273e-06 33 0.473719742443601 0.457273484394964 0.078658288369374
"142" "dN.dS_ENSG00000153187" 1.97246943526382e-05 2.12923460211098e-06 35 0.488423324672232 0.473376951868474 0.0808983264809086
"143" "dN.dS_ENSG00000116809" 1.35652685704299e-05 5.107870328606e-08 37 0.566139355260628 0.554087670684534 0.0473562674188929
"144" "dN.dS_ENSG00000165699" 4.40812708841616e-05 8.23989695827908e-17 39 0.842058747082566 0.837902398321581 0.0760741277061903
"145" "dN.dS_ENSG00000113657" 1.13648841513674e-05 6.28830080227851e-08 36 0.571526918024804 0.55928482996837 0.0379914015463198
"146" "dN.dS_ENSG00000119042" 4.94296287964041e-06 1.41658219917439e-07 35 0.562173855351646 0.549296615803165 0.0156906214666582
"147" "dN.dS_ENSG00000182979" 1.72355866020554e-05 5.82398218845203e-08 36 0.573365151510304 0.561175584410599 0.0599582406058146
"148" "dN.dS_ENSG00000110880" 4.13267095894173e-05 1.82114709499226e-08 35 0.611072543871902 0.599633501044605 0.137057340187383
"149" "dN.dS_ENSG00000033800" 1.67807925002611e-05 1.56712215575135e-09 35 0.662590732323684 0.652666930333204 0.0496245304690986
"150" "dN.dS_ENSG00000127483" 3.46778247708446e-05 2.52120072594554e-09 37 0.631890430509141 0.62166516468995 0.107924071314161
"151" "dN.dS_ENSG00000186716" 1.28103403257857e-05 4.22756838532181e-08 33 0.614190185602842 0.602133628902931 0.0414742021299038
"152" "dN.dS_ENSG00000163873" 9.55375520417643e-06 1.52268028073929e-06 37 0.478311260710288 0.46381990684113 0.0404540885796826
"153" "dN.dS_ENSG00000109670" 1.66239060581522e-05 9.87543647010746e-05 38 0.339737282702906 0.321892344397579 0.0931841306831184
"154" "dN.dS_ENSG00000110768" 2.70873862916502e-05 8.58136168281437e-07 35 0.514385879429158 0.500103111177075 0.110350583605259
"155" "dN.dS_ENSG00000160551" 8.99175714462193e-06 0.00103381720730028 35 0.274728537724125 0.253397024127776 0.055663615655884
"156" "dN.dS_ENSG00000131323" 1.63322738909811e-05 2.0357706090561e-13 38 0.771462227662163 0.765285531112492 0.0356385196698702
"157" "dN.dS_ENSG00000136875" 1.8513765571569e-05 3.06779305748101e-06 37 0.45819199986734 0.443141777641433 0.076658270927071
"158" "dN.dS_ENSG00000136875.1" 1.8513765571569e-05 3.06779305748101e-06 37 0.45819199986734 0.443141777641433 0.076658270927071
"159" "dN.dS_ENSG00000168066" 4.64131385917679e-05 3.43726927935562e-11 32 0.762297073286631 0.754629236941038 0.101027205389109
"160" "dN.dS_ENSG00000105613" 1.22218249668319e-05 8.40591006956886e-11 34 0.726100418326533 0.717800431003095 0.0307504244211939
"161" "dN.dS_ENSG00000152413" 2.78095076491162e-05 1.39262863170811e-09 39 0.623551044228032 0.613644492760349 0.0855597854523015
"162" "dN.dS_ENSG00000118564" 3.22529387084267e-05 1.05602655083929e-11 38 0.717600114488906 0.709967685150768 0.0813373201614695
"163" "dN.dS_ENSG00000179134" 2.54059944394899e-05 1.26707232142628e-08 37 0.597914254061484 0.586745205563192 0.0852390493828704
"164" "dN.dS_ENSG00000062725" 1.37357381289676e-05 0.000185242880157771 39 0.310979131628478 0.292847003513438 0.080958398947059
"165" "dN.dS_ENSG00000124214" 3.49335690936119e-05 7.27493384035866e-08 37 0.55769961070525 0.545413488780396 0.125653396653611
"166" "dN.dS_ENSG00000051180" 8.38137202315882e-05 1.74207574943137e-13 37 0.782613419849103 0.7765749037338 0.179100055861135
"167" "dN.dS_ENSG00000163399" 2.43220871392966e-05 2.52020370345404e-09 39 0.611793417324915 0.601577454622939 0.0772570546506506
"168" "dN.dS_ENSG00000102225" 3.04020888701111e-05 5.92713644315542e-08 34 0.59467848847089 0.582396018424553 0.0938750231640008
"169" "dN.dS_ENSG00000100605" 1.47867261869832e-05 1.24801461092239e-08 33 0.642063176895898 0.630877651173894 0.0459668924728381
"170" "dN.dS_ENSG00000010671" 1.6356237472351e-05 0.00134198958993582 31 0.294172452367834 0.270644867446761 0.0987633822228584
"171" "dN.dS_ENSG00000082458" 4.32366785167555e-05 8.90380582720299e-09 32 0.661230906340581 0.650302871061245 0.117571889489104
"172" "dN.dS_ENSG00000184226" 9.8232387041366e-06 8.11002443987623e-09 38 0.597434229251294 0.586554073285112 0.0323280426095356
"173" "dN.dS_ENSG00000048828" 2.17409466334025e-05 7.66813177882843e-07 35 0.517511767311629 0.503320936938441 0.0840424007862604
"174" "dN.dS_ENSG00000157404" 3.14462071229068e-05 2.89388376823159e-08 35 0.600518694828643 0.588769244676544 0.104999948482828
"175" "dN.dS_ENSG00000115380" 2.27234320836556e-05 1.77288446044396e-12 38 0.743339672390227 0.736402906779152 0.0535316935711749
"176" "dN.dS_ENSG00000113161" 2.27914130165511e-05 1.37296489660602e-11 36 0.733568608143678 0.725956282662068 0.0565447179858806
"177" "dN.dS_ENSG00000121390" 1.67051443286396e-05 0.000114425834348473 36 0.350209113800899 0.331643659909496 0.0911166619851866
