"genes" "S" "rho" "p_val" "number_of_species"
"117" "dN.dS_ENSG00000122515" 5097.44697112447 0.221169293945841 0.208744128212836 34
"118" "dN.dS_ENSG00000145431" 4492.14573433022 0.370847936368317 0.0282959221471913 35
"119" "dN.dS_ENSG00000196700" 6210.87234855257 0.0510508252784458 0.774320951912365 34
"120" "dN.dS_ENSG00000068366" 3473.71620625245 0.513485125174726 0.00160636474592361 35
"121" "dN.dS_ENSG00000079432" 2021.61754811812 0.691120313503726 6.03665383932207e-06 34
"122" "dN.dS_ENSG00000126581" 4280.86153846154 0.284615384615385 0.108416789606528 33
"123" "dN.dS_ENSG00000079805" 5029.29445087024 0.352729156902157 0.0348552562872911 36
"124" "dN.dS_ENSG00000151617" 3235.38482797119 0.645980432435585 1.18556041392415e-05 38
"125" "dN.dS_ENSG00000157212" 2099.76948464595 0.615144889177794 0.00017919336222383 32
"126" "dN.dS_ENSG00000165494" 5616.30693704949 0.277180574382305 0.101706159130908 36
"127" "dN.dS_ENSG00000100664" 2067.97393053805 0.684037596556448 8.18761378835891e-06 34
"128" "dN.dS_ENSG00000062485" 2173.99812768543 0.667838330376557 1.59465013471386e-05 34
"129" "dN.dS_ENSG00000161405" 3608.47421721042 0.605156557915481 5.69991914851135e-05 38
"130" "dN.dS_ENSG00000008441" 2671.37676052381 0.707694850582798 6.73921577229664e-07 38
"131" "dN.dS_ENSG00000215421" 3163.36960805592 0.420203517585058 0.0166433977570239 32
"132" "dN.dS_ENSG00000198963" 2603.00752260997 0.664992596832693 9.68272819611628e-06 36
"133" "dN.dS_ENSG00000154832" 7203.52669251093 -0.00889729586987836 0.959543542245549 35
"134" "dN.dS_ENSG00000136231" 8448.8089651227 -0.29087990299812 0.0951225221440681 34
"135" "dN.dS_ENSG00000132155" 5465.8351035369 0.164883865005821 0.351404705095664 34
"136" "dN.dS_ENSG00000136848" 3714.81282835706 0.593520863512741 8.57910249298017e-05 38
"137" "dN.dS_ENSG00000107864" 1930.707500415 0.646131323237719 6.4823294319043e-05 32
"138" "dN.dS_ENSG00000172239" 5766.11369888517 -0.0568390210566666 0.757330988996498 32
"139" "dN.dS_ENSG00000141551" 2734.32681154226 0.448724433156803 0.011341913664936 31
"140" "dN.dS_ENSG00000100852" 3721.32323987319 0.558875860612471 0.000324015957491853 37
"141" "dN.dS_ENSG00000080709" 2439.72292506624 0.592292291934117 0.000281981696912397 33
"142" "dN.dS_ENSG00000153187" 4289.20134508731 0.399271520295895 0.017496351532883 35
"143" "dN.dS_ENSG00000116809" 6548.32865555712 0.223763791422816 0.183077275153499 37
"144" "dN.dS_ENSG00000165699" 5117.79483607739 0.482004571247227 0.00188922491869262 39
"145" "dN.dS_ENSG00000113657" 8434.25649170154 -0.0854898959718837 0.620073574486965 36
"146" "dN.dS_ENSG00000119042" 4888.39626715643 0.315350662863246 0.0649960292871843 35
"147" "dN.dS_ENSG00000182979" 4315.88845965252 0.44454459978732 0.00660034710603463 36
"148" "dN.dS_ENSG00000110880" 3001.55070936174 0.579614746587991 0.00026341370674665 35
"149" "dN.dS_ENSG00000033800" 5627.47031002054 0.211838892153987 0.221834702341742 35
"150" "dN.dS_ENSG00000127483" 8691.10584453416 -0.0302401427849878 0.858981619933686 37
"151" "dN.dS_ENSG00000186716" 3516.38136831894 0.412369423743492 0.0170906073442543 33
"152" "dN.dS_ENSG00000163873" 3048.40315452034 0.638643533129405 2.1047911074952e-05 37
"153" "dN.dS_ENSG00000109670" 12121.468557755 -0.326345175375317 0.0455383840246349 38
"154" "dN.dS_ENSG00000110768" 4022.9083902275 0.436567452349089 0.00874178554998354 35
"155" "dN.dS_ENSG00000160551" 6050.04202376914 0.152655178743818 0.38131902651588 35
"156" "dN.dS_ENSG00000131323" 3093.34596751234 0.661522489603639 6.12649162340687e-06 38
"157" "dN.dS_ENSG00000136875" 3085.597145865 0.634234572562233 2.497863277652e-05 37
"158" "dN.dS_ENSG00000136875.1" 3085.597145865 0.634234572562233 2.497863277652e-05 37
"159" "dN.dS_ENSG00000168066" 1275.46726567375 0.766226674180031 3.1909958631112e-07 32
"160" "dN.dS_ENSG00000105613" 3387.03485170475 0.482500404628762 0.00385265153287724 34
"161" "dN.dS_ENSG00000152413" 3465.07821566529 0.649283581410396 7.761487777367e-06 39
"162" "dN.dS_ENSG00000118564" 5739.38394874954 0.371989938860976 0.0214641443665036 38
"163" "dN.dS_ENSG00000179134" 5650.33949957568 0.330211059794254 0.0459296970197205 37
"164" "dN.dS_ENSG00000062725" 4092.74261700259 0.58575479584994 8.94430762385421e-05 39
"165" "dN.dS_ENSG00000124214" 6840.52711315632 0.189126705410583 0.26225287343092 37
"166" "dN.dS_ENSG00000051180" 3203.4491090412 0.620264448904552 4.22420978749246e-05 37
"167" "dN.dS_ENSG00000163399" 4361.60346789309 0.558542159120133 0.000219627276843008 39
"168" "dN.dS_ENSG00000102225" 3037.85659685064 0.535850787341385 0.00109019974327407 34
"169" "dN.dS_ENSG00000100605" 1900.6350108296 0.682380512896124 1.21922415777992e-05 33
"170" "dN.dS_ENSG00000010671" 3906.68140788944 0.21236261937713 0.251407671583512 31
"171" "dN.dS_ENSG00000082458" 1856.6803593908 0.659699347618988 4.00505098549938e-05 32
"172" "dN.dS_ENSG00000184226" 6171.02565129907 0.324759202177583 0.0466610343787806 38
"173" "dN.dS_ENSG00000048828" 6622.85512119654 0.0724292547343782 0.679255557435451 35
"174" "dN.dS_ENSG00000157404" 10179.0642844958 -0.425639255531621 0.0107968995562456 35
"175" "dN.dS_ENSG00000115380" 3241.15966507467 0.645348543049057 1.21686281612566e-05 38
"176" "dN.dS_ENSG00000113161" 3753.94926816895 0.516866246052903 0.00124827628562666 36
"177" "dN.dS_ENSG00000121390" 5300.04632947044 0.317883355280509 0.0588483695497851 36
