"genes" "slopes" "p_val_slope" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err" "intercept" "p_val_intercept"
"47" "dN.dS_ENSG00000157540" 0.523081863979615 7.53542761164722e-05 33 0.401536257569929 0.382230975556056 0.535744015182372 9.79324035433659 1.52777894527341e-20
"48" "dN.dS_ENSG00000170873" 0.208541979768453 0.381191667688251 36 0.0226280587692782 -0.00611817479633125 0.759603378570675 8.4739563870938 2.35830296547892e-13
"49" "dN.dS_ENSG00000141456" 0.468382023221363 0.121954150216548 38 0.0651502818712724 0.0391822341454745 0.729779747345444 8.66274868334494 3.82824658935138e-18
"50" "dN.dS_ENSG00000108061" 0.161180767751131 0.318234670789203 32 0.0331990310466564 0.000972332081544791 0.741238754023841 8.33306857715952 6.38896388050043e-15
"51" "dN.dS_ENSG00000114209" 0.331509980012505 0.00460018960787498 29 0.261276383408168 0.233916249460323 0.654396467403483 8.87507521724055 8.6833843825615e-19
"52" "dN.dS_ENSG00000183431" 0.283587275541774 0.0059884704545895 29 0.247887868526567 0.22003186365718 0.682387359483599 8.81700115380382 5.71431870716495e-19
"53" "dN.dS_ENSG00000009335" -0.0412193499658638 0.802459964477365 38 0.00176115313823105 -0.0259677037190402 0.703239547952717 7.7727503131541 1.02646948063893e-18
"54" "dN.dS_ENSG00000122482" 0.849111949002983 0.139103438326256 39 0.0581708165573786 0.032715973761632 0.722872008365864 9.38778277198601 5.24860872487379e-11
"55" "dN.dS_ENSG00000156983" 0.450843964172091 0.230939522343068 40 0.0375405920734012 0.012212712917438 0.734499072350937 9.6118373024799 1.13816963161379e-07
"56" "dN.dS_ENSG00000100603" 0.719288601997888 0.0261536220541588 34 0.145260278673794 0.11854966238235 0.735464662373347 9.07305348370725 2.49227203521362e-17
"57" "dN.dS_ENSG00000112640" 0.385679450857498 0.0897091605491615 36 0.0823497955566923 0.055360083661301 0.723976550374247 9.25310032889397 1.56509532149469e-12
"58" "dN.dS_ENSG00000160216" -0.177627222774072 0.608418869856543 28 0.0102385578256751 -0.0278291899502605 0.687139900981384 7.34537959066761 3.64888848861852e-07
"59" "dN.dS_ENSG00000101191" 0.26737649968493 0.769679566563311 31 0.00300301890102124 -0.0313761873437712 0.721797301713796 8.38160670764823 1.17969583782888e-05
"60" "dN.dS_ENSG00000126261" 0.257696157421611 0.146847151490419 33 0.066664724611103 0.0365571350824289 0.759442967605276 8.56844845844484 6.94788572244144e-17
"61" "dN.dS_ENSG00000068831" 0.0620191855381076 0.666188466488529 35 0.00570886157247431 -0.0244211729253294 0.74051131598282 8.06424107762748 1.71846059019882e-15
"62" "dN.dS_ENSG00000177380" 0.277580788919626 0.0798442082766534 31 0.102029546189934 0.0710650477826907 0.730617703072135 8.97200485392389 7.6725877136449e-15
"63" "dN.dS_ENSG00000138207" -0.274399712086286 0.170966993190504 35 0.0560330389684616 0.0274279795432636 0.713707575142761 7.01772781459111 8.84772101492411e-15
"64" "dN.dS_ENSG00000005007" 0.176982412828565 0.0808514812999286 28 0.112610675937178 0.078480317319377 0.768382639194873 8.55673865317844 4.08832594753837e-16
"65" "dN.dS_ENSG00000136709" 0.466036030838304 0.0379419022458358 38 0.114242665108912 0.0896382946952708 0.662435245555551 9.2715742588816 2.46170924802504e-16
"66" "dN.dS_ENSG00000065243" 0.877548352539271 0.00669442573010664 36 0.197010517629473 0.173393179912693 0.658472345258758 9.94331615568114 3.17726221157779e-15
"67" "dN.dS_ENSG00000174437" 0.407195941677893 0.000874450166431039 38 0.267915575896919 0.247579897449612 0.645764721798635 9.15527107348639 6.84577323439984e-24
"68" "dN.dS_ENSG00000176208" 1.67550072964487 0.000327635109809954 36 0.319555542132492 0.299542469842272 0.613752886958938 9.50611591039695 1.71529027705255e-21
"69" "dN.dS_ENSG00000107882" 0.137808600022852 0.324676284399979 38 0.0269509618572839 -7.81780911247587e-05 0.744869729943551 8.23357813913835 1.86559937715212e-19
"70" "dN.dS_ENSG00000174243" 0.109608180937097 0.384901124425686 34 0.0236792825355825 -0.00683073988518057 0.716516661424737 8.18174903376219 1.34422501172989e-15
"71" "dN.dS_ENSG00000152127" 0.247997804931874 0.275918854302953 37 0.0338180866849395 0.00621288916165208 0.752344328181259 8.71084438669198 8.42859802721002e-13
"72" "dN.dS_ENSG00000087087" 0.322473642648656 0.0506684485895445 34 0.11415185788775 0.0864691034467423 0.625740403365094 9.21886936361154 2.95839005333926e-15
"73" "dN.dS_ENSG00000137075" 0.427454001803078 0.00513741636354153 31 0.240123451106954 0.213920811489953 0.67343384017824 8.66133191262469 6.29809105480433e-22
"74" "dN.dS_ENSG00000139842" 0.224504151312802 0.283134413754905 31 0.0396061869723591 0.00648915893692326 0.738563088754803 8.6570810513658 3.72445438615408e-13
"75" "dN.dS_ENSG00000120616" -0.0130436439059051 0.945129385516475 36 0.000141371250722532 -0.0292662354771973 0.764059264938332 7.82904834777009 1.0022424211686e-17
"76" "dN.dS_ENSG00000080815" 0.242602308396236 0.395957017245268 28 0.0278555904405957 -0.00953457915784295 0.76666760898079 8.20514731060884 1.8349276560386e-12
"77" "dN.dS_ENSG00000072364" 0.443009311615039 0.286860567290372 34 0.0353627854335296 0.0052178724783275 0.7702278562718 8.83431658594046 4.81614510940891e-11
"78" "dN.dS_ENSG00000108001" 0.349628218508693 1.12626501542404e-05 36 0.437395298660622 0.420848101562405 0.562358799052297 8.9486957042596 4.69918995784469e-29
"79" "dN.dS_ENSG00000078900" -0.156384776008138 0.33928076920941 28 0.0351674562809027 -0.0019414877082935 0.409277312289056 7.66499743715355 4.03771604278561e-14
"80" "dN.dS_ENSG00000197122" 0.208499198463918 0.227867583090307 36 0.0424711944047629 0.0143085824754914 0.74331888368153 8.70298494597396 4.54031784491718e-13
"81" "dN.dS_ENSG00000073464" 0.239405747360986 0.0772352397651901 29 0.111102998437014 0.0781808872680142 0.705235638626742 8.76973436857092 5.17373590868393e-14
"82" "dN.dS_ENSG00000154380" 0.507557876893659 0.0791463033688307 35 0.0904621553611553 0.0629004024933115 0.746621645577463 8.81791217094029 4.0324275715168e-17
"83" "dN.dS_ENSG00000096384" 0.380468489116996 0.00025228603925447 40 0.300247710723084 0.281833176794744 0.626285280398911 9.61531114030871 1.36933829774552e-22
"84" "dN.dS_ENSG00000145632" -0.153798566337436 0.626793763691002 33 0.00772084482213687 -0.0242881601836007 0.766559228257361 7.25793227375031 1.46571043889801e-07
"85" "dN.dS_ENSG00000090372" -0.0953534978689659 0.288572340308817 32 0.0374517752668981 0.00536683444246133 0.788282204847977 7.48390598268524 8.48231654590462e-21
"86" "dN.dS_ENSG00000125304" 0.778765822735135 0.000138346792023052 38 0.335622789251133 0.317167866730331 0.594858792705176 9.65948889396977 2.61856179532029e-22
"87" "dN.dS_ENSG00000186260" -0.221109035206047 0.714971749000094 37 0.00385767032747973 -0.024603539091735 0.664843844293364 7.52165766685919 6.43267500681779e-08
"88" "dN.dS_ENSG00000198720" -0.0953200802269082 0.591118001983396 32 0.00973388475474092 -0.0232749857534345 0.787433317928297 7.45727946069978 4.79275553503667e-13
"89" "dN.dS_ENSG00000196419" 0.0662735397188532 0.859553681765067 33 0.00102584537744407 -0.0311991273523158 0.795888628964458 7.92370946898676 3.70497279338011e-13
"90" "dN.dS_ENSG00000164076" 0.60784522679689 0.000487152795094319 37 0.297000528010313 0.276914828810608 0.605446402803111 9.2071498242109 9.03332775416874e-24
"91" "dN.dS_ENSG00000071243" 0.40819319909803 0.0316886125294217 36 0.128666230765654 0.103038766964644 0.682166583911387 9.21814790238665 8.14447009775853e-16
"92" "dN.dS_ENSG00000116106" 0.27536014449162 0.0433046396539891 38 0.108634222428192 0.0838740619400865 0.71256044476934 8.86224070029141 2.6492119328395e-19
"93" "dN.dS_ENSG00000124702" 0.178318961288095 0.220973775199718 38 0.0413142383498574 0.0146840783040202 0.738978615484584 8.33234802505259 3.62755542849672e-21
"94" "dN.dS_ENSG00000156261" 0.557618203351134 0.00178683271392636 35 0.259219813935758 0.236771929509569 0.647840162264353 9.40401194656507 1.78956959525127e-19
"95" "dN.dS_ENSG00000156642" -0.284501392717719 0.226822400895639 27 0.0578596667753867 0.0201740534464021 0.71101540249987 6.95683848395893 8.01328693778397e-13
"96" "dN.dS_ENSG00000129083" 0.47378882456854 0.0052443329550036 38 0.197038448094622 0.174733960541695 0.676302678724454 9.80136651031275 9.82947807088706e-17
"97" "dN.dS_ENSG00000094631" -0.173455981544488 0.70812355812769 32 0.00473915420967849 -0.0284362073166657 0.755010523663379 7.60473358780953 2.45360330605669e-13
"98" "dN.dS_ENSG00000077147" 0.294241948066039 0.0335095965642818 32 0.141999063273464 0.113399032049246 0.741888149519396 8.73044082940153 8.11693520437747e-19
"99" "dN.dS_ENSG00000036549" 0.96213357403756 0.203946818392849 34 0.0499346100488307 0.0202450666128566 0.743416837953623 9.59192461707425 4.24210733675583e-08
"100" "dN.dS_ENSG00000107758" 0.0135453686203437 0.863958735932126 31 0.00102935870628905 -0.0334179047865977 0.734706973228217 7.74796377691529 2.46997792608744e-21
"101" "dN.dS_ENSG00000198730" 0.702294978092847 8.28662334103784e-05 39 0.34569833532704 0.328014506552095 0.602510124204184 10.2143606695076 1.78345189587907e-20
"102" "dN.dS_ENSG00000133216" 0.333432145102269 0.000157310760403678 36 0.346932117371904 0.327724238471077 0.616357389636441 9.0609388940585 1.3968688279923e-25
"103" "dN.dS_ENSG00000114554" 0.0676559772069292 0.783316746432922 30 0.00274574472401962 -0.032870478678694 0.810515737272847 8.12198684555136 3.74977614208646e-09
"104" "dN.dS_ENSG00000083307" -0.0350211536090329 0.878423712026299 35 0.00071962838794963 -0.0295615949942338 0.669993101855304 7.77765077527379 5.60608160505044e-13
"105" "dN.dS_ENSG00000047056" 0.469273916134952 0.00820616250610716 36 0.188213105747864 0.164337020622801 0.652357036319707 9.36140320932971 1.68026188558612e-18
"106" "dN.dS_ENSG00000153046" 0.269995239793274 0.254964934101474 32 0.0429690241922305 0.0110679916653047 0.79627303093628 8.54888546355045 2.96084264437087e-14
"107" "dN.dS_ENSG00000183814" 0.2625674987934 0.0138642440693206 35 0.169935555880536 0.144782087876916 0.692731517556728 8.48937291746477 7.59305479215214e-26
"108" "dN.dS_ENSG00000102974" 0.392859058810204 0.0170838193984219 36 0.156106233364708 0.13128582846367 0.655766033923458 9.2445307201948 1.32426378345442e-16
"109" "dN.dS_ENSG00000124571" -1.06643248242486 0.000428349804413997 37 0.301870825891851 0.28192427806019 0.636610147624806 5.48067652940731 1.77834844650823e-10
"110" "dN.dS_ENSG00000118454" 0.0435815985037147 0.811854287631277 39 0.00155098882168169 -0.025434119588543 0.744283312641524 7.9453865698868 9.86171164464089e-20
"111" "dN.dS_ENSG00000149136" 0.177339746597105 0.236457416935856 36 0.040968824152548 0.0127620248629171 0.740504864108367 8.54133449707391 6.0302489128229e-15
"112" "dN.dS_ENSG00000163634" 0.557576795301812 0.00172856350055519 31 0.291247513562667 0.266807772651035 0.664397901916123 9.40353769757866 3.71546085202867e-18
"113" "dN.dS_ENSG00000102226" -0.146589237893886 0.609288758537738 34 0.00825702951506581 -0.0227349383125883 0.763470891442492 7.57579492666235 3.30699031957088e-14
"114" "dN.dS_ENSG00000139687" -0.423485695096473 0.18524721434946 38 0.0482275952576152 0.0217894729036602 0.736309301526017 6.83453811110227 7.69898701724914e-11
"115" "dN.dS_ENSG00000109111" 0.120645184899727 0.334555858446811 38 0.0258861410668362 -0.0011725772368627 0.747587369165602 8.32488725056545 4.1904202937105e-18
"116" "dN.dS_ENSG00000108262" 0.22918838917449 0.0632420565366429 37 0.095148824751611 0.0692959340302286 0.733055407579813 8.58171972673152 4.88449452771478e-21
"117" "dN.dS_ENSG00000082641" 0.202293928229456 0.412781149921302 36 0.0198213621167376 -0.00900742135041699 0.765804701143076 8.47480806332456 8.35639878860692e-13
"118" "dN.dS_ENSG00000091622" -0.109897313710085 0.706866177962401 38 0.00397553085301781 -0.0236918155121759 0.753279086137544 7.50256785984973 5.53881082836059e-10
"119" "dN.dS_ENSG00000147548" 0.510708140974747 0.179532026511827 35 0.0539123706099313 0.0252430485072019 0.731844918915621 9.00529566402632 3.60293572341869e-12
"120" "dN.dS_ENSG00000131725" 0.504737086115675 0.16072607328185 36 0.0570263918211161 0.029291873933502 0.708243503566334 8.84225513441559 2.07964456236969e-14
"121" "dN.dS_ENSG00000136448" 0.397937891026685 0.0142789755282567 36 0.164014316304068 0.139426502077717 0.679724626927822 9.09002982465013 7.49388855215245e-19
"122" "dN.dS_ENSG00000067842" 0.522630770374192 0.00476514195529679 36 0.211567770131532 0.188378586900107 0.660694549899266 9.72198655370579 1.50220822393674e-16
"123" "dN.dS_ENSG00000154727" -0.00606637737323944 0.979093263576057 33 2.25127587163731e-05 -0.0322348255393896 0.646648617452973 7.8034499637057 2.58898967382223e-10
"124" "dN.dS_ENSG00000115935" 0.644754453889484 0.109306011593557 30 0.0890033401109127 0.0564677451148738 0.691440468456605 9.07137688480498 1.23657644399367e-13
"125" "dN.dS_ENSG00000126583" 0.316266632363368 0.00262425475609184 37 0.230691115362337 0.208710861515547 0.671092545535778 9.01853680324486 4.2291892244239e-23
"126" "dN.dS_ENSG00000196961" 0.293929433511276 0.0150267745038441 36 0.161766735042374 0.137112815484797 0.658490530072222 9.12066149021695 4.12760602859493e-19
"127" "dN.dS_ENSG00000142230" 0.333147599144027 0.135703596724656 32 0.0726639054303223 0.0417527022779995 0.657533919817266 8.58068304631047 2.96010065013936e-16
"128" "dN.dS_ENSG00000110048" 0.240128607816862 0.241312497025469 36 0.0401475895372487 0.0119166362883444 0.75289641559821 8.5630876420035 4.28327312268063e-15
"129" "dN.dS_ENSG00000151612" 0.0781112409453121 0.795516924664842 38 0.00188986409200719 -0.0258354174609925 0.75137675181666 8.04451003856645 7.4500705321668e-13
"130" "dN.dS_ENSG00000168522" 0.540005545710615 0.0192985289110009 31 0.174689787341309 0.146230814491009 0.694575968034353 8.89927456484381 7.50050964583703e-18
"131" "dN.dS_ENSG00000095787" 0.352977478105958 0.0707366198112001 38 0.0878734699845207 0.0625366219285353 0.734246764253773 8.57377904481629 3.03474186024165e-21
"132" "dN.dS_ENSG00000196323" 0.622573768197684 0.00426063922960376 36 0.216322291550468 0.193272947184305 0.653284390435438 9.45974538259578 6.41732929041244e-19
"133" "dN.dS_ENSG00000143376" 0.343248840264765 0.0156969600959239 34 0.169076280791206 0.143109914565931 0.655143586894922 8.83264837746633 6.52649897742541e-21
"134" "dN.dS_ENSG00000176444" 0.112746148289625 0.408089086201683 39 0.0185728147048376 -0.00795224435719377 0.720486864851489 8.14517043097799 3.5273436645552e-20
"135" "dN.dS_ENSG00000135040" 0.0202803753345582 0.900748110846988 33 0.000509773932890457 -0.0317318462628227 0.752156608537052 7.81670519816481 2.59527931409041e-13
"136" "dN.dS_ENSG00000173039" 0.370128930268562 0.323617688278593 33 0.0314329615793629 0.000188863565794062 0.756164819681554 8.61520777554941 7.608453281965e-12
"137" "dN.dS_ENSG00000106615" 0.288734676399152 0.0045764508204257 29 0.261537286308864 0.234186815431415 0.646044070685153 8.56856795223583 2.79267028436697e-21
"138" "dN.dS_ENSG00000122299" -0.653983259508831 0.0097555168329761 38 0.171452247388756 0.148437032038444 0.676226422535322 6.34741742751084 2.68523997988504e-13
"139" "dN.dS_ENSG00000159352" 0.347100571996462 0.00876146024899532 29 0.228273158840533 0.199690683242034 0.69693379909816 8.8841052618309 9.96472079227702e-18
"140" "dN.dS_ENSG00000162706" 0.512664591178231 0.0136544899584501 38 0.157414616173329 0.134009466622589 0.692831885672769 9.1578415131189 2.98639714052955e-19
"141" "dN.dS_ENSG00000133422" 0.129013176657051 0.539259017315634 32 0.0126934590467066 -0.0202167589850699 0.520787830151162 8.37502555946873 1.01050349939055e-16
"142" "dN.dS_ENSG00000198853" 2.04633416379902 4.2132943213215e-07 36 0.53382666376237 0.520115683284793 0.521478817185651 11.1373936084172 6.47883259557466e-21
"143" "dN.dS_ENSG00000166477" 0.618380043910003 0.00285778337652024 36 0.233130439402356 0.210575452325954 0.613368859334907 9.77273996534052 5.50308842285251e-18
"144" "dN.dS_ENSG00000087258" 0.180752321935081 0.344069199609892 33 0.0289196341235457 -0.00240553896924323 0.775953421443013 8.34911564105149 4.12012142051146e-14
"145" "dN.dS_ENSG00000122515" 0.190572326071639 0.58022385271504 34 0.00966192441728442 -0.0212861404446754 0.716389589381393 8.36127910528435 5.75711280708601e-12
"146" "dN.dS_ENSG00000145431" 0.0741337992384865 0.813230579114352 35 0.0017158269952854 -0.0285352085503121 0.661598141753904 8.05651296398789 9.4947548467231e-14
"147" "dN.dS_ENSG00000196700" 0.0688280572950506 0.893882114162727 34 0.000564653115262307 -0.0306677014748857 0.73628270995459 8.04062616192038 1.71484845572294e-07
"148" "dN.dS_ENSG00000068366" 0.844211642113612 0.00167142699093515 35 0.26201099450494 0.23964769130812 0.66856286828884 10.2951200248544 1.92469370991151e-15
"149" "dN.dS_ENSG00000100614" 0.318902328769628 0.00511423173393093 31 0.240341201384772 0.21414607039804 0.589837881760062 8.41212566692009 4.11923407014426e-26
"150" "dN.dS_ENSG00000103249" 0.577685928622647 1.16751488471338e-05 31 0.490064416316878 0.472480430672632 0.588614106024649 9.57992679290517 2.52717757898685e-22
"151" "dN.dS_ENSG00000079432" 1.33821716408375 0.00295887339629252 35 0.237877104467265 0.214782471269303 0.67518895107764 10.7121228068934 2.22881598348918e-13
"152" "dN.dS_ENSG00000126581" 0.354115520429059 0.0280295315254791 33 0.146305875463568 0.118767355317232 0.745517895628189 8.91792733128108 1.62049738662653e-17
"153" "dN.dS_ENSG00000079805" 0.311854658940341 0.0199066241715672 36 0.14933974079871 0.124320321410437 0.689535409942157 8.82841498139465 1.62602205087815e-20
"154" "dN.dS_ENSG00000169032" 0.273873264038212 0.0944163142840789 30 0.0966920870578717 0.0644310901670813 0.761459706970827 8.83596978672498 3.26344589761672e-14
"155" "dN.dS_ENSG00000115053" 0.275730978132466 0.414891508605229 30 0.0238777929975499 -0.0109837143953948 0.715998250496895 8.4294637748521 6.06788208219563e-14
"156" "dN.dS_ENSG00000151617" 1.21491671334595 8.27891675691649e-07 38 0.495235678448163 0.481214447293946 0.536213887051546 10.8454479674568 7.09364114867243e-22
"157" "dN.dS_ENSG00000157212" 0.7772241918755 0.000122345977766118 32 0.393339611059931 0.373117598095261 0.593910730998719 9.40888558053033 5.24645164610059e-22
"158" "dN.dS_ENSG00000162374" 0.180909271320406 0.327231613827495 29 0.0355634311742224 -0.000156441745250646 0.745085446355052 8.21950357651081 4.08072524907689e-13
"159" "dN.dS_ENSG00000165494" -0.280347344739585 0.566972872454096 37 0.00945460680630793 -0.0188466901420832 0.757321391092938 7.10732780787392 1.96228890177824e-06
"160" "dN.dS_ENSG00000100664" 0.707761991866927 0.000113780453106809 36 0.358710865823809 0.33984942070098 0.59838065309564 9.92483509383342 1.11663354807531e-20
"161" "dN.dS_ENSG00000062485" 0.805675569851016 1.39807965741168e-05 34 0.450395301803008 0.433220154984352 0.435140812871074 9.75108916822367 4.9650127761781e-24
"162" "dN.dS_ENSG00000161405" 0.76736165725292 0.00141836717119881 38 0.249252124785534 0.228398017140688 0.653944344464905 9.31781783069004 6.98219327025336e-22
"163" "dN.dS_ENSG00000008441" 0.769939249754058 1.04430808764972e-05 38 0.421247800667265 0.4051713506858 0.574205348229858 9.61010565843286 2.18983588119308e-25
"164" "dN.dS_ENSG00000215421" 1.79390399716555 0.0250075343340805 34 0.147360313981322 0.120715323793238 0.718068944798067 10.2409036186863 2.37448538414059e-11
"165" "dN.dS_ENSG00000198963" 0.788653673632546 1.30765405464623e-05 37 0.423213262472468 0.406733641400253 0.576392811638648 10.010076047461 1.70332709755949e-22
"166" "dN.dS_ENSG00000154832" 0.12058133411097 0.468321370668827 34 0.0165552736537205 -0.0141773740446007 0.757230558562736 8.24716229303818 6.50828025950396e-15
