"Human" "Chimpanzee" "Bonobo" "Gorilla" "Orangutan" "Macaque" "Mouse" "Opossum" "Platypus" "Chicken"
"ENSG00000136404" 0 0 0 0 0 0 1 0 0 1
"ENSG00000183049" 0 0 0 0 0 0 0 0 0 0
"ENSG00000085760" 0 0 0 0 0 0 0 0 0 0
"ENSG00000145012" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169403" 0 0 0 0 0 0 0 0 0 0
"ENSG00000163145" 0 0 0 0 0 0 0 0 0 0
"ENSG00000121281" 1 0 0 0 0 1 0 0 0 0
"ENSG00000171564" 0 0 0 0 0 0 0 0 0 0
"ENSG00000152127" 0 0 0 0 0 0 0 0 0 0
"ENSG00000177485" 0 0 0 0 0 0 0 0 0 0
"ENSG00000182218" 0 0 0 0 0 0 0 0 0 0
"ENSG00000163412" 1 0 0 0 0 0 0 0 0 0
"ENSG00000073350" 0 0 0 0 0 0 0 0 0 0
"ENSG00000186106" 0 0 0 0 0 0 0 0 0 0
"ENSG00000103043" 0 0 0 0 0 0 0 0 0 0
"ENSG00000080618" 0 0 0 0 0 0 0 0 0 0
"ENSG00000137364" 0 0 0 0 0 0 0 0 0 0
"ENSG00000165672" 0 0 0 0 0 0 0 0 0 0
"ENSG00000154143" 0 0 0 0 0 0 0 0 0 0
"ENSG00000115446" 0 0 0 0 0 0 0 0 0 0
"ENSG00000094975" 0 0 0 0 0 0 0 0 0 0
"ENSG00000182173" 0 0 0 0 0 0 0 0 0 0
"ENSG00000170946" 0 1 1 0 0 0 0 0 0 0
"ENSG00000042429" 0 0 0 0 0 0 0 0 0 0
"ENSG00000173598" 0 0 0 0 0 0 0 0 0 0
"ENSG00000140009" 1 0 0 0 0 0 0 0 0 0
"ENSG00000163827" 0 0 0 0 0 0 0 0 0 0
"ENSG00000111452" 0 0 0 0 0 0 0 0 0 1
"ENSG00000165269" 0 0 0 0 0 0 0 0 0 0
"ENSG00000159166" 0 0 0 0 0 0 0 0 0 1
"ENSG00000205593" 0 0 0 0 0 0 0 0 0 0
"ENSG00000075388" 0 0 0 0 0 0 0 0 0 0
"ENSG00000157131" 0 0 0 0 0 0 0 0 0 0
"ENSG00000148516" 0 0 0 0 0 0 0 0 0 0
"ENSG00000132423" 0 0 0 0 0 0 0 0 0 0
"ENSG00000178163" 1 0 0 0 0 0 0 0 0 0
"ENSG00000159374" 0 0 0 0 0 0 0 0 0 0
"ENSG00000184307" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187164" 0 0 0 0 0 0 0 1 0 0
"ENSG00000175756" 0 0 0 0 1 0 0 0 0 0
"ENSG00000125676" 0 0 0 0 0 1 0 0 0 0
"ENSG00000184445" 0 0 0 0 0 0 0 0 0 0
"ENSG00000040275" 0 0 0 0 0 0 0 0 0 0
"ENSG00000139174" 0 0 0 0 0 0 0 0 0 0
"ENSG00000068650" 0 0 0 0 0 0 1 0 0 0
"ENSG00000131374" 0 0 0 0 0 0 0 0 0 0
"ENSG00000146918" 0 0 0 0 0 0 0 0 0 0
"ENSG00000181744" 0 0 0 0 0 0 0 0 0 0
"ENSG00000135315" 0 0 0 0 0 0 0 0 0 0
"ENSG00000165029" 0 0 0 0 0 0 0 0 0 0
"ENSG00000143801" 0 0 0 0 0 0 0 0 0 0
"ENSG00000145103" 0 0 0 0 0 0 0 0 0 0
"ENSG00000115602" 0 0 0 0 0 0 0 0 0 0
"ENSG00000188163" 1 0 0 1 1 1 1 1 1 0
"ENSG00000115594" 0 0 0 0 0 0 0 0 0 0
"ENSG00000115221" 0 0 0 0 0 0 0 0 0 0
"ENSG00000205302" 0 0 0 0 0 0 0 0 0 0
"ENSG00000067082" 0 0 0 0 0 0 0 0 0 0
"ENSG00000171282" 0 0 0 0 0 0 0 0 0 0
"ENSG00000109158" 0 0 0 0 0 0 0 0 0 0
"ENSG00000023608" 0 0 0 0 0 0 0 0 0 0
"ENSG00000172425" 1 1 1 0 0 1 0 1 0 0
"ENSG00000117479" 0 0 0 0 0 0 0 0 0 0
"ENSG00000078295" 0 0 0 0 0 0 0 0 0 0
"ENSG00000146166" 0 0 0 0 0 0 1 0 0 0
"ENSG00000139921" 0 0 0 0 0 0 0 0 0 0
"ENSG00000081985" 0 0 0 0 0 0 0 0 0 0
"ENSG00000156398" 0 0 0 0 0 0 0 0 0 0
"ENSG00000072858" 0 1 1 0 0 0 0 0 0 0
"ENSG00000038295" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169991" 1 0 0 0 0 0 0 0 0 0
"ENSG00000130558" 0 0 0 0 0 0 0 0 0 0
"ENSG00000109689" 0 0 0 0 0 0 0 0 0 0
"ENSG00000157978" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164078" 1 0 0 0 0 0 0 0 0 0
"ENSG00000108479" 0 0 0 0 0 0 0 0 0 0
"ENSG00000180660" 1 0 0 0 0 0 1 0 0 0
"ENSG00000114738" 0 0 0 0 0 0 0 0 0 0
"ENSG00000011478" 0 0 0 0 0 0 0 0 0 0
"ENSG00000144596" 0 0 0 0 0 0 1 0 0 0
"ENSG00000171004" 0 0 0 0 0 0 0 0 0 0
"ENSG00000133943" 0 0 0 0 0 0 0 0 0 0
"ENSG00000171793" 0 0 0 0 0 0 0 0 0 0
"ENSG00000158545" 0 0 0 0 0 0 0 0 0 0
"ENSG00000148935" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164707" 1 0 0 0 0 0 0 0 0 0
"ENSG00000182795" 0 0 0 0 0 0 0 0 0 0
"ENSG00000102245" 0 0 0 0 0 0 0 0 0 0
"ENSG00000049192" 0 0 0 0 0 0 0 0 0 0
"ENSG00000124299" 0 0 0 0 0 0 0 0 0 0
"ENSG00000163501" 0 0 0 0 0 0 0 0 0 0
"ENSG00000115607" 0 0 0 0 0 0 0 0 0 0
"ENSG00000122687" 0 0 0 0 0 0 0 0 0 0
"ENSG00000211460" 0 0 0 0 0 0 0 0 0 0
"ENSG00000125409" 0 0 0 0 0 0 0 0 0 0
"ENSG00000214338" 1 0 0 0 0 0 0 1 0 0
"ENSG00000182985" 0 0 0 0 0 0 0 0 0 0
"ENSG00000142192" 0 0 0 0 0 0 0 0 0 0
"ENSG00000052850" 0 0 0 0 0 0 0 0 0 0
"ENSG00000163811" 0 0 0 0 0 0 0 0 0 0
"ENSG00000134363" 0 0 0 0 0 0 0 0 0 0
"ENSG00000006576" 0 0 0 0 0 0 0 0 0 0
"ENSG00000173175" 0 0 0 0 0 0 0 0 0 0
"ENSG00000076321" 0 0 0 0 0 0 0 0 0 0
"ENSG00000125107" 0 0 0 0 0 0 0 0 0 0
"ENSG00000095321" 0 0 0 0 0 0 0 0 0 0
"ENSG00000112996" 0 0 0 0 0 0 0 0 0 0
"ENSG00000131437" 0 0 0 0 0 0 0 0 0 0
"ENSG00000123352" 0 0 0 0 0 0 0 0 0 0
"ENSG00000121957" 1 0 0 0 0 0 1 0 0 0
"ENSG00000145819" 0 0 0 0 0 0 0 0 0 0
"ENSG00000116141" 0 0 0 0 0 0 0 0 0 0
"ENSG00000120800" 0 1 0 1 0 0 0 0 0 0
"ENSG00000165194" 0 0 0 0 0 0 0 0 0 0
"ENSG00000136933" 0 0 0 0 0 0 0 0 0 0
"ENSG00000146555" 0 0 0 0 0 0 0 0 0 0
"ENSG00000172840" 0 0 0 0 0 0 0 0 0 0
"ENSG00000152430" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168807" 0 0 0 0 0 0 0 0 0 0
"ENSG00000174945" 1 0 0 0 0 0 0 0 0 0
"ENSG00000140455" 1 0 0 0 0 0 0 0 0 0
"ENSG00000111726" 0 0 0 0 0 0 0 0 0 0
"ENSG00000141448" 0 0 0 0 0 0 0 0 0 0
"ENSG00000138032" 0 0 0 0 0 0 0 0 0 0
"ENSG00000167986" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168263" 0 0 0 0 0 0 0 0 0 0
"ENSG00000131269" 0 0 0 0 0 0 0 0 0 0
"ENSG00000144840" 1 0 0 0 0 0 0 0 0 0
"ENSG00000047579" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187498" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169313" 0 1 1 0 0 0 1 0 0 0
"ENSG00000091483" 0 0 0 0 0 0 0 0 0 0
"ENSG00000111144" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168679" 0 0 0 0 0 0 0 0 0 0
"ENSG00000011105" 0 0 0 0 0 0 0 0 0 0
"ENSG00000244045" 1 0 0 0 0 0 0 0 0 0
"ENSG00000117682" 0 0 0 0 0 0 0 0 0 0
"ENSG00000078081" 0 0 0 0 0 0 0 0 0 0
"ENSG00000149474" 0 0 0 0 0 0 0 0 0 0
"ENSG00000183378" 0 0 0 0 0 0 0 0 0 0
"ENSG00000134200" 0 0 0 0 0 0 0 0 0 0
"ENSG00000135318" 0 0 0 0 0 0 0 0 0 0
"ENSG00000213699" 0 0 0 0 0 0 0 0 0 0
"ENSG00000134644" 0 0 0 0 0 0 0 0 0 0
"ENSG00000054179" 1 0 0 0 0 0 1 0 0 0
"ENSG00000156471" 0 0 0 0 0 0 0 0 0 0
"ENSG00000198886" 0 0 0 0 0 1 0 0 0 0
"ENSG00000152049" 0 0 0 0 0 0 0 0 0 0
"ENSG00000205356" 0 0 0 0 0 0 0 0 0 0
"ENSG00000179021" 0 0 0 0 0 0 0 0 0 0
"ENSG00000108878" 0 0 0 0 0 0 0 0 0 0
"ENSG00000082258" 0 0 0 0 0 0 0 0 0 0
"ENSG00000114251" 0 0 0 0 0 0 0 0 0 0
"ENSG00000142627" 0 0 0 0 0 0 0 0 0 1
"ENSG00000130037" 0 0 0 0 0 0 0 0 0 0
"ENSG00000116044" 0 0 0 0 0 0 0 0 0 0
"ENSG00000125885" 0 0 0 0 0 0 0 0 0 0
"ENSG00000134905" 0 0 0 0 0 0 0 0 0 0
"ENSG00000122884" 0 0 0 0 0 0 0 0 0 0
"ENSG00000173064" 0 0 0 0 0 0 0 0 0 0
"ENSG00000084093" 0 0 0 0 0 0 0 0 0 0
"ENSG00000104221" 1 1 1 0 0 1 0 0 0 0
"ENSG00000116863" 0 0 0 0 0 0 0 0 0 0
"ENSG00000163874" 0 0 0 0 0 0 0 0 0 0
"ENSG00000096717" 0 0 0 0 0 0 0 0 0 0
"ENSG00000147421" 0 0 0 0 0 0 0 0 0 0
"ENSG00000106733" 1 0 0 0 0 0 0 0 0 0
"ENSG00000116406" 1 0 0 0 0 0 0 0 1 0
"ENSG00000188042" 1 0 0 0 0 0 0 0 0 0
"ENSG00000171408" 0 0 0 0 0 0 0 0 0 0
"ENSG00000087494" 0 0 0 0 0 0 0 0 0 0
"ENSG00000152229" 1 0 0 0 0 0 0 0 0 0
"ENSG00000024862" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169085" 1 0 0 0 0 0 0 0 0 0
"ENSG00000111725" 0 0 0 0 0 0 0 0 0 0
"ENSG00000091732" 0 0 0 0 0 0 0 0 0 0
"ENSG00000064692" 0 0 0 0 0 0 0 0 0 0
"ENSG00000175175" 1 0 0 1 1 0 0 1 0 1
"ENSG00000154080" 0 0 0 0 0 0 0 0 0 1
"ENSG00000148426" 1 0 0 0 0 0 0 0 0 0
"ENSG00000143653" 0 0 0 0 0 0 0 0 0 0
"ENSG00000184860" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164253" 0 0 0 0 0 0 0 0 0 0
"ENSG00000185418" 0 0 0 0 0 0 0 0 0 1
"ENSG00000066279" 1 0 0 0 0 0 0 0 0 0
"ENSG00000101323" 0 0 0 0 0 0 0 0 0 0
"ENSG00000149506" 0 0 0 0 0 0 0 0 0 0
"ENSG00000108510" 1 0 0 0 0 0 0 0 0 0
"ENSG00000136156" 0 0 0 0 0 0 0 0 0 0
"ENSG00000107130" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187257" 0 0 0 0 0 0 0 0 0 0
"ENSG00000177888" 1 0 0 0 0 0 0 0 0 0
"ENSG00000152527" 0 0 0 0 0 0 0 0 0 0
"ENSG00000102524" 0 0 0 0 0 0 1 0 0 0
"ENSG00000184992" 0 0 0 0 0 0 0 0 0 0
"ENSG00000141452" 0 0 0 0 0 0 0 0 0 1
"ENSG00000169189" 0 0 0 0 0 0 0 0 0 0
"ENSG00000145725" 0 0 0 0 0 0 0 0 0 0
"ENSG00000116819" 0 0 0 0 0 0 0 0 0 0
"ENSG00000111639" 0 0 0 0 0 0 0 0 0 0
"ENSG00000006625" 1 0 0 0 0 0 0 0 0 0
"ENSG00000100504" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164466" 0 0 0 0 0 0 0 0 0 0
"ENSG00000114098" 0 0 0 0 0 0 0 0 0 0
"ENSG00000112293" 1 1 1 1 0 0 1 0 0 0
"ENSG00000163171" 0 0 0 0 0 0 0 0 0 0
"ENSG00000113141" 0 0 0 0 0 0 0 0 0 0
"ENSG00000120875" 0 0 0 0 0 0 0 1 0 0
"ENSG00000170382" 0 0 0 0 0 0 0 0 0 0
"ENSG00000162695" 1 0 0 0 0 0 0 0 0 0
"ENSG00000166012" 0 0 0 0 0 0 0 0 0 0
"ENSG00000122779" 0 0 0 0 0 0 0 0 0 0
"ENSG00000118194" 0 0 0 0 0 0 0 0 0 0
"ENSG00000162843" 0 0 0 0 0 0 0 0 0 0
"ENSG00000107872" 0 0 0 0 0 0 0 0 0 1
"ENSG00000119711" 0 0 0 0 0 0 0 0 0 0
"ENSG00000159921" 0 0 0 0 0 0 0 0 0 0
"ENSG00000144406" 0 1 1 0 0 1 0 0 0 1
"ENSG00000117114" 0 0 0 0 0 0 0 0 0 0
"ENSG00000115421" 0 0 0 0 0 0 0 0 0 0
"ENSG00000166501" 0 0 0 0 0 0 0 0 0 0
"ENSG00000124370" 1 0 0 0 0 0 0 0 0 0
"ENSG00000095203" 0 0 0 0 0 0 0 0 0 0
"ENSG00000133250" 0 0 0 0 0 0 0 0 0 0
"ENSG00000160050" 0 0 0 0 0 0 0 0 0 0
"ENSG00000168137" 0 0 0 0 0 0 0 0 0 0
"ENSG00000159842" 0 0 0 0 0 0 0 0 0 0
"ENSG00000215897" 1 0 0 0 0 0 0 0 0 0
"ENSG00000156531" 0 0 0 0 0 0 0 0 0 0
"ENSG00000111058" 0 0 0 0 0 0 0 0 0 0
"ENSG00000108406" 0 0 0 0 0 0 0 0 0 0
"ENSG00000167106" 0 0 0 0 0 0 0 0 0 0
"ENSG00000106100" 1 0 0 0 0 0 0 0 0 0
"ENSG00000115183" 0 0 0 0 0 0 0 0 0 0
"ENSG00000166974" 0 0 0 0 0 0 0 0 0 0
"ENSG00000184588" 0 0 0 0 0 0 0 0 0 0
"ENSG00000165895" 0 0 0 0 0 0 0 0 0 0
"ENSG00000007545" 1 0 0 0 0 0 0 0 0 0
"ENSG00000177707" 0 0 0 0 0 0 0 0 0 0
"ENSG00000113594" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169018" 0 0 0 0 0 0 0 0 0 0
"ENSG00000187741" 1 1 1 1 0 0 1 1 1 0
"ENSG00000147434" 0 0 0 0 0 0 0 0 0 0
"ENSG00000072864" 1 1 1 1 1 1 0 0 0 0
"ENSG00000137878" 0 0 0 0 0 0 0 0 0 0
"ENSG00000107954" 0 0 0 0 0 0 0 0 0 0
"ENSG00000214272" 0 0 0 0 0 0 1 0 0 0
"ENSG00000122711" 0 0 0 0 0 0 0 0 0 0
"ENSG00000184916" 0 0 0 0 0 0 0 0 0 0
"ENSG00000153561" 0 0 0 0 0 0 0 0 0 0
"ENSG00000010017" 0 0 0 0 0 0 0 0 0 0
"ENSG00000146090" 0 0 0 0 0 0 0 0 0 0
"ENSG00000126226" 0 0 0 0 0 0 0 0 0 0
"ENSG00000120727" 0 0 0 0 0 0 0 0 0 0
"ENSG00000116353" 0 0 0 0 0 0 0 0 0 0
"ENSG00000117450" 0 0 0 0 0 0 0 0 0 0
"ENSG00000100395" 0 0 0 0 0 0 0 0 0 0
"ENSG00000155324" 0 0 0 0 0 0 0 0 0 0
"ENSG00000176018" 1 0 0 0 0 0 0 0 0 0
"ENSG00000188517" 0 0 0 0 0 0 0 0 0 0
"ENSG00000152520" 0 0 0 0 0 0 0 0 0 0
"ENSG00000119650" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164088" 0 0 0 0 1 0 0 0 0 0
"ENSG00000069535" 0 0 0 0 0 0 0 0 0 0
"ENSG00000198554" 1 0 0 0 0 0 0 0 0 0
"ENSG00000084444" 0 0 0 0 0 0 0 0 0 0
"ENSG00000143507" 0 0 0 0 0 0 0 0 0 0
"ENSG00000159784" 0 0 0 0 0 0 1 0 0 0
"ENSG00000071242" 0 0 0 0 0 0 0 0 0 0
"ENSG00000178301" 0 0 0 0 0 0 0 0 0 0
"ENSG00000139505" 1 0 0 0 0 0 0 0 0 0
"ENSG00000120699" 0 0 0 0 0 0 1 0 0 0
"ENSG00000131668" 0 0 0 0 0 0 0 0 0 0
"ENSG00000162624" 1 0 0 0 0 0 0 0 0 0
"ENSG00000113722" 0 0 0 0 0 0 0 0 0 0
"ENSG00000132872" 0 0 0 0 0 0 0 0 0 0
"ENSG00000055813" 0 0 0 0 1 0 0 0 0 0
"ENSG00000146233" 0 0 0 0 0 0 0 0 1 0
"ENSG00000103126" 0 0 0 0 0 0 0 0 0 0
"ENSG00000119446" 1 0 0 0 0 0 0 0 0 0
"ENSG00000076242" 0 0 0 1 0 0 1 1 0 0
"ENSG00000109083" 1 1 1 0 0 0 0 0 0 0
"ENSG00000148384" 0 0 0 0 0 0 1 0 0 0
"ENSG00000198522" 1 0 0 0 0 0 0 0 0 0
"ENSG00000065675" 0 0 0 0 0 0 0 0 0 0
"ENSG00000125207" 0 0 0 0 0 0 0 0 0 0
"ENSG00000170558" 0 0 0 0 0 0 0 0 0 0
"ENSG00000198873" 0 0 0 0 0 0 0 0 0 0
"ENSG00000107862" 0 0 0 0 0 0 0 0 0 0
"ENSG00000091879" 1 0 0 0 0 0 0 0 0 0
"ENSG00000150628" 0 0 0 0 0 0 0 0 0 1
"ENSG00000185002" 0 0 0 0 0 0 0 0 0 0
"ENSG00000143401" 0 0 0 0 0 0 0 0 0 0
"ENSG00000122068" 0 0 0 0 0 0 0 0 0 0
"ENSG00000074964" 0 0 0 0 0 0 0 0 0 0
"ENSG00000174738" 0 0 0 0 0 0 0 0 0 0
"ENSG00000164187" 0 0 0 0 0 0 0 0 0 0
"ENSG00000171476" 0 0 0 0 0 0 0 0 0 0
"ENSG00000155659" 0 0 0 0 0 0 0 0 0 0
"ENSG00000127951" 0 0 0 0 0 0 0 1 0 0
"ENSG00000103051" 0 0 0 0 0 0 0 0 0 0
"ENSG00000138592" 0 0 0 0 0 0 0 0 0 0
"ENSG00000063854" 0 0 0 0 0 0 0 0 0 0
"ENSG00000213965" 0 0 0 0 0 0 0 0 0 0
"ENSG00000153714" 0 0 0 0 0 0 0 0 0 0
"ENSG00000169410" 0 0 0 0 0 0 0 0 0 0
"ENSG00000103047" 0 0 0 0 0 1 0 0 0 0
