Human Chimpanzee Gorilla Orangutan Macaque
ENSG00000197362 ENSPTRG00000022947 ENSGGOG00000009193 ENSPPYG00000018149 ENSMMUG00000018549
ENSG00000185947 ENSPTRG00000008053 ENSGGOG00000028417 ENSPPYG00000007703 ENSMMUG00000008253
ENSG00000128346 ENSPTRG00000014355 ENSGGOG00000024080 ENSPPYG00000011808 ENSMMUG00000021560
ENSG00000196449 ENSPTRG00000000557 ENSGGOG00000007619 ENSPPYG00000001523 ENSMMUG00000005372
ENSG00000160867 ENSPTRG00000017574 ENSGGOG00000002917 ENSPPYG00000016083 ENSMMUG00000004919
ENSG00000138813 ENSPTRG00000016306 ENSGGOG00000012459 ENSPPYG00000014951 ENSMMUG00000009089
ENSG00000212127 ENSPTRG00000032538 ENSGGOG00000006698 ENSPPYG00000004289 ENSMMUG00000019281
ENSG00000111913 ENSPTRG00000017782 ENSGGOG00000014697 ENSPPYG00000016286 ENSMMUG00000017497
ENSG00000117151 ENSPTRG00000000904 ENSGGOG00000015738 ENSPPYG00000001203 ENSMMUG00000010127
ENSG00000124208 ENSPTRG00000013615 ENSGGOG00000015114 ENSPPYG00000011123 ENSMMUG00000012228
ENSG00000100565 ENSPTRG00000006570 ENSGGOG00000010758 ENSPPYG00000006015 ENSMMUG00000022904
ENSG00000180745 ENSPTRG00000003053 ENSGGOG00000013278 ENSPPYG00000002761 ENSMMUG00000022758
ENSG00000146054 ENSPTRG00000017649 ENSGGOG00000022070 ENSPPYG00000019937 ENSMMUG00000003598
ENSG00000177519 ENSPTRG00000012545 ENSGGOG00000002162 ENSPPYG00000012856 ENSMMUG00000022529
ENSG00000166535 ENSPTRG00000004645 ENSGGOG00000004629 ENSPPYG00000004245 ENSMMUG00000022680
ENSG00000168497 ENSPTRG00000012755 ENSGGOG00000001639 ENSPPYG00000013031 ENSMMUG00000011574
ENSG00000139915 ENSPTRG00000006311 ENSGGOG00000000327 ENSPPYG00000005784 ENSMMUG00000015110
ENSG00000161405 ENSPTRG00000009103 ENSGGOG00000009814 ENSPPYG00000008476 ENSMMUG00000017337
ENSG00000168615 ENSPTRG00000020182 ENSGGOG00000006056 ENSPPYG00000018531 ENSMMUG00000006033
ENSG00000143442 ENSPTRG00000001289 ENSGGOG00000010569 ENSPPYG00000000864 ENSMMUG00000020925
ENSG00000136319 ENSPTRG00000006086 ENSGGOG00000000370 ENSPPYG00000005560 ENSMMUG00000016250
ENSG00000119787 ENSPTRG00000011846 ENSGGOG00000009990 ENSPPYG00000012483 ENSMMUG00000008463
ENSG00000187608 ENSPTRG00000023135 ENSGGOG00000014967 ENSPPYG00000002026 ENSMMUG00000001819
ENSG00000090932 ENSPTRG00000010975 ENSGGOG00000014462 ENSPPYG00000009970 ENSMMUG00000019093
ENSG00000065308 ENSPTRG00000018278 ENSGGOG00000011922 ENSPPYG00000016708 ENSMMUG00000013718
ENSG00000136068 ENSPTRG00000015054 ENSGGOG00000010039 ENSPPYG00000013765 ENSMMUG00000000706
ENSG00000136828 ENSPTRG00000021382 ENSGGOG00000015706 ENSPPYG00000019617 ENSMMUG00000023495
ENSG00000101546 ENSPTRG00000010137 ENSGGOG00000003131 ENSPPYG00000009264 ENSMMUG00000014855
ENSG00000214717 ENSPTRG00000028326 ENSGGOG00000011706 ENSPPYG00000020088 ENSMMUG00000007514
ENSG00000004777 ENSPTRG00000010866 ENSGGOG00000016856 ENSPPYG00000009883 ENSMMUG00000002394
ENSG00000085491 ENSPTRG00000001026 ENSGGOG00000013403 ENSPPYG00000001097 ENSMMUG00000002789
ENSG00000131269 ENSPTRG00000022039 ENSGGOG00000015678 ENSPPYG00000020483 ENSMMUG00000015619
ENSG00000198464 ENSPTRG00000028902 ENSGGOG00000004316 ENSPPYG00000010338 ENSMMUG00000020234
ENSG00000159720 ENSPTRG00000008231 ENSGGOG00000012974 ENSPPYG00000007458 ENSMMUG00000029105
ENSG00000111058 ENSPTRG00000005263 ENSGGOG00000010105 ENSPPYG00000004802 ENSMMUG00000013800
ENSG00000198798 ENSPTRG00000021764 ENSGGOG00000005399 ENSPPYG00000020214 ENSMMUG00000012772
ENSG00000060491 ENSPTRG00000013720 ENSGGOG00000017022 ENSPPYG00000011218 ENSMMUG00000016856
ENSG00000167618 ENSPTRG00000011461 ENSGGOG00000003387 ENSPPYG00000010385 ENSMMUG00000014267
ENSG00000104970 ENSPTRG00000011462 ENSGGOG00000006465 ENSPPYG00000010386 ENSMMUG00000013286
ENSG00000124731 ENSPTRG00000018153 ENSGGOG00000007534 ENSPPYG00000016593 ENSMMUG00000003674
ENSG00000127533 ENSPTRG00000029092 ENSGGOG00000007746 ENSPPYG00000009698 ENSMMUG00000017253
ENSG00000161904 ENSPTRG00000018057 ENSGGOG00000008126 ENSPPYG00000016510 ENSMMUG00000021734
ENSG00000184014 ENSPTRG00000003345 ENSGGOG00000010375 ENSPPYG00000003497 ENSMMUG00000021142
ENSG00000168843 ENSPTRG00000016559 ENSGGOG00000008514 ENSPPYG00000015162 ENSMMUG00000009033
ENSG00000198363 ENSPTRG00000020289 ENSGGOG00000008863 ENSPPYG00000018622 ENSMMUG00000008777
ENSG00000171017 ENSPTRG00000010408 ENSGGOG00000024318 ENSPPYG00000009491 ENSMMUG00000005424
ENSG00000213079 ENSPTRG00000018727 ENSGGOG00000008645 ENSPPYG00000017121 ENSMMUG00000015163
ENSG00000122711 ENSPTRG00000020855 ENSGGOG00000016528 ENSPPYG00000019903 ENSMMUG00000020146
ENSG00000092871 ENSPTRG00000009009 ENSGGOG00000004166 ENSPPYG00000008177 ENSMMUG00000000750
ENSG00000171872 ENSPTRG00000000652 ENSGGOG00000026978 ENSPPYG00000001434 ENSMMUG00000005986
ENSG00000143549 ENSPTRG00000001375 ENSGGOG00000000472 ENSPPYG00000000787 ENSMMUG00000010805
ENSG00000146576 ENSPTRG00000018917 ENSGGOG00000026416 ENSPPYG00000017353 ENSMMUG00000015546
ENSG00000101470 ENSPTRG00000030540 ENSGGOG00000024522 ENSPPYG00000011072 ENSMMUG00000021025
ENSG00000108679 ENSPTRG00000009722 ENSGGOG00000008323 ENSPPYG00000008699 ENSMMUG00000019662
ENSG00000112486 ENSPTRG00000018798 ENSGGOG00000011333 ENSPPYG00000017168 ENSMMUG00000005676
ENSG00000156575 ENSPTRG00000029958 ENSGGOG00000004044 ENSPPYG00000003276 ENSMMUG00000017814
ENSG00000103051 ENSPTRG00000008304 ENSGGOG00000005952 ENSPPYG00000007540 ENSMMUG00000003171
ENSG00000018869 ENSPTRG00000011539 ENSGGOG00000003541 ENSPPYG00000010446 ENSMMUG00000000362
ENSG00000092108 ENSPTRG00000006235 ENSGGOG00000011007 ENSPPYG00000005720 ENSMMUG00000019692
ENSG00000048649 ENSPTRG00000004105 ENSGGOG00000001833 ENSPPYG00000003713 ENSMMUG00000017355
ENSG00000135447 ENSPTRG00000005044 ENSGGOG00000008380 ENSPPYG00000004608 ENSMMUG00000000113
ENSG00000214900 ENSPTRG00000033845 ENSGGOG00000022058 ENSPPYG00000005796 ENSMMUG00000021148
ENSG00000184307 ENSPTRG00000015237 ENSGGOG00000009500 ENSPPYG00000013533 ENSMMUG00000001946
ENSG00000149131 ENSPTRG00000003663 ENSGGOG00000015654 ENSPPYG00000003268 ENSMMUG00000012618
ENSG00000119689 ENSPTRG00000006543 ENSGGOG00000011591 ENSPPYG00000005993 ENSMMUG00000004260
ENSG00000117298 ENSPTRG00000000298 ENSGGOG00000012085 ENSPPYG00000001761 ENSMMUG00000010942
ENSG00000140553 ENSPTRG00000007465 ENSGGOG00000008205 ENSPPYG00000006789 ENSMMUG00000005106
ENSG00000158481 ENSPTRG00000001499 ENSGGOG00000000504 ENSPPYG00000000682 ENSMMUG00000010626
ENSG00000136908 ENSPTRG00000021406 ENSGGOG00000014688 ENSPPYG00000019638 ENSMMUG00000014374
ENSG00000172426 ENSPTRG00000018208 ENSGGOG00000006299 ENSPPYG00000017281 ENSMMUG00000029639
ENSG00000148908 ENSPTRG00000002995 ENSGGOG00000008414 ENSPPYG00000002702 ENSMMUG00000021610
ENSG00000087903 ENSPTRG00000010352 ENSGGOG00000009633 ENSPPYG00000009445 ENSMMUG00000011967
ENSG00000167604 ENSPTRG00000010874 ENSGGOG00000015319 ENSPPYG00000009887 ENSMMUG00000019756
ENSG00000175868 ENSPTRG00000003390 ENSGGOG00000000799 ENSPPYG00000003461 ENSMMUG00000020245
ENSG00000151835 ENSPTRG00000005703 ENSGGOG00000016425 ENSPPYG00000005205 ENSMMUG00000001292
ENSG00000134259 ENSPTRG00000001146 ENSGGOG00000001122 ENSPPYG00000000991 ENSMMUG00000007396
ENSG00000092054 ENSPTRG00000006173 ENSGGOG00000017139 ENSPPYG00000005669 ENSMMUG00000014762
ENSG00000165240 ENSPTRG00000022050 ENSGGOG00000025640 ENSPPYG00000020495 ENSMMUG00000012871
ENSG00000137672 ENSPTRG00000004207 ENSGGOG00000009198 ENSPPYG00000003802 ENSMMUG00000011835
ENSG00000172986 ENSPTRG00000015107 ENSGGOG00000005057 ENSPPYG00000013716 ENSMMUG00000022507
ENSG00000145331 ENSPTRG00000016307 ENSGGOG00000008424 ENSPPYG00000014952 ENSMMUG00000009090
ENSG00000124334 ENSPTRG00000007524 ENSGGOG00000007446 ENSPPYG00000020907 ENSMMUG00000002016
ENSG00000106341 ENSPTRG00000019052 ENSGGOG00000012803 ENSPPYG00000017663 ENSMMUG00000022485
ENSG00000100503 ENSPTRG00000006335 ENSGGOG00000005976 ENSPPYG00000005806 ENSMMUG00000014658
ENSG00000105483 ENSPTRG00000023499 ENSGGOG00000000259 ENSPPYG00000010191 ENSMMUG00000017111
ENSG00000164683 ENSPTRG00000020364 ENSGGOG00000009960 ENSPPYG00000018693 ENSMMUG00000002740
ENSG00000135847 ENSPTRG00000001741 ENSGGOG00000008735 ENSPPYG00000000450 ENSMMUG00000012051
ENSG00000188820 ENSPTRG00000018530 ENSGGOG00000001375 ENSPPYG00000016949 ENSMMUG00000007410
ENSG00000160818 ENSPTRG00000001464 ENSGGOG00000000753 ENSPPYG00000000711 ENSMMUG00000002624
ENSG00000103091 ENSPTRG00000008351 ENSGGOG00000014559 ENSPPYG00000007553 ENSMMUG00000023471
ENSG00000067704 ENSPTRG00000001997 ENSGGOG00000007340 ENSPPYG00000000208 ENSMMUG00000007783
ENSG00000239789 ENSPTRG00000019203 ENSGGOG00000022240 ENSPPYG00000017547 ENSMMUG00000009863
ENSG00000184860 ENSPTRG00000008396 ENSGGOG00000013178 ENSPPYG00000007590 ENSMMUG00000020372
ENSG00000111665 ENSPTRG00000004593 ENSGGOG00000002613 ENSPPYG00000004205 ENSMMUG00000005191
ENSG00000184344 ENSPTRG00000004615 ENSGGOG00000012422 ENSPPYG00000004229 ENSMMUG00000019973
ENSG00000153406 ENSPTRG00000007719 ENSGGOG00000008491 ENSPPYG00000007060 ENSMMUG00000020540
ENSG00000172987 ENSPTRG00000002826 ENSGGOG00000013772 ENSPPYG00000002550 ENSMMUG00000020605
ENSG00000068028 ENSPTRG00000014959 ENSGGOG00000007106 ENSPPYG00000013844 ENSMMUG00000006996
ENSG00000159618 ENSPTRG00000008161 ENSGGOG00000014215 ENSPPYG00000007393 ENSMMUG00000011980
ENSG00000127870 ENSPTRG00000005723 ENSGGOG00000006568 ENSPPYG00000005228 ENSMMUG00000013900
ENSG00000100426 ENSPTRG00000014522 ENSGGOG00000009913 ENSPPYG00000011967 ENSMMUG00000018833
ENSG00000136279 ENSPTRG00000019134 ENSGGOG00000004521 ENSPPYG00000017600 ENSMMUG00000002411
ENSG00000168874 ENSPTRG00000012145 ENSGGOG00000023858 ENSPPYG00000012219 ENSMMUG00000019558
ENSG00000135241 ENSPTRG00000019590 ENSGGOG00000010179 ENSPPYG00000017910 ENSMMUG00000011831
ENSG00000179059 ENSPTRG00000031054 ENSGGOG00000005953 ENSPPYG00000015262 ENSMMUG00000007018
ENSG00000197977 ENSPTRG00000023849 ENSGGOG00000007449 ENSPPYG00000016230 ENSMMUG00000013908
ENSG00000142327 ENSPTRG00000013107 ENSGGOG00000001484 ENSPPYG00000013339 ENSMMUG00000015625
ENSG00000122481 ENSPTRG00000000984 ENSGGOG00000024263 ENSPPYG00000001134 ENSMMUG00000004759
ENSG00000175348 ENSPTRG00000003340 ENSGGOG00000007813 ENSPPYG00000003500 ENSMMUG00000001998
ENSG00000120699 ENSPTRG00000005790 ENSGGOG00000011902 ENSPPYG00000005287 ENSMMUG00000003588
ENSG00000176697 ENSPTRG00000028696 ENSGGOG00000022171 ENSPPYG00000003401 ENSMMUG00000008634
ENSG00000204662 ENSPTRG00000030601 ENSGGOG00000007052 ENSPPYG00000010772 ENSMMUG00000003933
ENSG00000104883 ENSPTRG00000010388 ENSGGOG00000004741 ENSPPYG00000009474 ENSMMUG00000008409
ENSG00000151150 ENSPTRG00000002526 ENSGGOG00000003939 ENSPPYG00000002423 ENSMMUG00000003589
ENSG00000166164 ENSPTRG00000008103 ENSGGOG00000014824 ENSPPYG00000007339 ENSMMUG00000003119
ENSG00000136878 ENSPTRG00000021466 ENSGGOG00000003539 ENSPPYG00000019686 ENSMMUG00000003797
ENSG00000167566 ENSPTRG00000023249 ENSGGOG00000016321 ENSPPYG00000004496 ENSMMUG00000006255
ENSG00000127666 ENSPTRG00000010322 ENSGGOG00000006675 ENSPPYG00000009418 ENSMMUG00000014163
ENSG00000159259 ENSPTRG00000013891 ENSGGOG00000015726 ENSPPYG00000011403 ENSMMUG00000007399
ENSG00000146555 ENSPTRG00000018872 ENSGGOG00000012912 ENSPPYG00000017324 ENSMMUG00000019724
ENSG00000175646 ENSPTRG00000007769 ENSGGOG00000025036 ENSPPYG00000007104 ENSMMUG00000014922
ENSG00000204219 ENSPTRG00000023819 ENSGGOG00000001152 ENSPPYG00000001741 ENSMMUG00000010977
ENSG00000044524 ENSPTRG00000015127 ENSGGOG00000014939 ENSPPYG00000013646 ENSMMUG00000008242
ENSG00000166510 ENSPTRG00000010039 ENSGGOG00000022410 ENSPPYG00000009174 ENSMMUG00000021598
ENSG00000155545 ENSPTRG00000016893 ENSGGOG00000015237 ENSPPYG00000015480 ENSMMUG00000012389
ENSG00000159692 ENSPTRG00000015827 ENSGGOG00000010541 ENSPPYG00000014524 ENSMMUG00000008323
ENSG00000162910 ENSPTRG00000002068 ENSGGOG00000015709 ENSPPYG00000000146 ENSMMUG00000002790
ENSG00000084734 ENSPTRG00000011773 ENSGGOG00000012787 ENSPPYG00000012542 ENSMMUG00000005102
ENSG00000130234 ENSPTRG00000021688 ENSGGOG00000007452 ENSPPYG00000020146 ENSMMUG00000014048
ENSG00000101542 ENSPTRG00000010069 ENSGGOG00000006915 ENSPPYG00000009201 ENSMMUG00000001713
ENSG00000135643 ENSPTRG00000005218 ENSGGOG00000012735 ENSPPYG00000004767 ENSMMUG00000014858
ENSG00000183421 ENSPTRG00000013929 ENSGGOG00000015422 ENSPPYG00000011440 ENSMMUG00000018043
ENSG00000221947 ENSPTRG00000030985 ENSGGOG00000026124 ENSPPYG00000018663 ENSMMUG00000007429
ENSG00000213047 ENSPTRG00000034501 ENSGGOG00000008074 ENSPPYG00000000386 ENSMMUG00000013962
ENSG00000162639 ENSPTRG00000001031 ENSGGOG00000004437 ENSPPYG00000001093 ENSMMUG00000009431
ENSG00000171711 ENSPTRG00000019965 ENSGGOG00000027908 ENSPPYG00000018339 ENSMMUG00000029043
ENSG00000109819 ENSPTRG00000015954 ENSGGOG00000009810 ENSPPYG00000014640 ENSMMUG00000001844
ENSG00000106771 ENSPTRG00000021237 ENSGGOG00000001950 ENSPPYG00000019485 ENSMMUG00000000695
ENSG00000164329 ENSPTRG00000017028 ENSGGOG00000023154 ENSPPYG00000015590 ENSMMUG00000020731
ENSG00000136490 ENSPTRG00000009519 ENSGGOG00000004092 ENSPPYG00000008528 ENSMMUG00000016755
ENSG00000166455 ENSPTRG00000008385 ENSGGOG00000006688 ENSPPYG00000007584 ENSMMUG00000013087
ENSG00000198826 ENSPTRG00000006867 ENSGGOG00000016353 ENSPPYG00000006299 ENSMMUG00000012276
ENSG00000088543 ENSPTRG00000014965 ENSGGOG00000014921 ENSPPYG00000013838 ENSMMUG00000010499
ENSG00000110315 ENSPTRG00000003357 ENSGGOG00000003129 ENSPPYG00000003490 ENSMMUG00000015786
ENSG00000126883 ENSPTRG00000021482 ENSGGOG00000017169 ENSPPYG00000019699 ENSMMUG00000021724
ENSG00000197140 ENSPTRG00000031006 ENSGGOG00000006068 ENSPPYG00000018532 ENSMMUG00000029007
ENSG00000141499 ENSPTRG00000008705 ENSGGOG00000005026 ENSPPYG00000008860 ENSMMUG00000008637
ENSG00000012171 ENSPTRG00000014952 ENSGGOG00000007053 ENSPPYG00000013850 ENSMMUG00000020117
ENSG00000115705 ENSPTRG00000011610 ENSGGOG00000004239 ENSPPYG00000012689 ENSMMUG00000009662
ENSG00000138472 ENSPTRG00000015197 ENSGGOG00000006248 ENSPPYG00000013569 ENSMMUG00000013883
ENSG00000138784 ENSPTRG00000016338 ENSGGOG00000011388 ENSPPYG00000014976 ENSMMUG00000004058
ENSG00000183103 ENSPTRG00000011035 ENSGGOG00000010514 ENSPPYG00000010027 ENSMMUG00000013425
ENSG00000172638 ENSPTRG00000003897 ENSGGOG00000010836 ENSPPYG00000003045 ENSMMUG00000019012
ENSG00000111667 ENSPTRG00000004594 ENSGGOG00000002615 ENSPPYG00000004206 ENSMMUG00000005192
ENSG00000103160 ENSPTRG00000008409 ENSGGOG00000016026 ENSPPYG00000007598 ENSMMUG00000020055
ENSG00000197885 ENSPTRG00000014694 ENSGGOG00000013354 ENSPPYG00000014066 ENSMMUG00000006352
ENSG00000118777 ENSPTRG00000016270 ENSGGOG00000002002 ENSPPYG00000014922 ENSMMUG00000008797
ENSG00000120087 ENSPTRG00000009357 ENSGGOG00000002637 ENSPPYG00000008901 ENSMMUG00000020867
ENSG00000167685 ENSPTRG00000011535 ENSGGOG00000027831 ENSPPYG00000010439 ENSMMUG00000017498
ENSG00000090924 ENSPTRG00000010969 ENSGGOG00000014402 ENSPPYG00000009966 ENSMMUG00000019369
ENSG00000150048 ENSPTRG00000004666 ENSGGOG00000008545 ENSPPYG00000004265 ENSMMUG00000005832
ENSG00000143196 ENSPTRG00000001651 ENSGGOG00000003563 ENSPPYG00000000537 ENSMMUG00000002932
ENSG00000168393 ENSPTRG00000013129 ENSGGOG00000001209 ENSPPYG00000013358 ENSMMUG00000008049
ENSG00000132432 ENSPTRG00000019195 ENSGGOG00000005866 ENSPPYG00000017551 ENSMMUG00000008366
ENSG00000161847 ENSPTRG00000010466 ENSGGOG00000006015 ENSPPYG00000010514 ENSMMUG00000014897
ENSG00000185436 ENSPTRG00000000343 ENSGGOG00000004445 ENSPPYG00000001722 ENSMMUG00000023057
ENSG00000173209 ENSPTRG00000023268 ENSGGOG00000014565 ENSPPYG00000012385 ENSMMUG00000008097
ENSG00000074211 ENSPTRG00000015883 ENSGGOG00000003495 ENSPPYG00000014588 ENSMMUG00000013416
ENSG00000130545 ENSPTRG00000010367 ENSGGOG00000007070 ENSPPYG00000009457 ENSMMUG00000005599
ENSG00000184661 ENSPTRG00000020094 ENSGGOG00000022784 ENSPPYG00000018453 ENSMMUG00000010582
ENSG00000129562 ENSPTRG00000006141 ENSGGOG00000028137 ENSPPYG00000005638 ENSMMUG00000000830
ENSG00000156127 ENSPTRG00000006556 ENSGGOG00000002267 ENSPPYG00000006005 ENSMMUG00000003834
ENSG00000064545 ENSPTRG00000010730 ENSGGOG00000022481 ENSPPYG00000009759 ENSMMUG00000018367
ENSG00000141668 ENSPTRG00000010107 ENSGGOG00000009354 ENSPPYG00000009236 ENSMMUG00000010417
ENSG00000134184 ENSPTRG00000001061 ENSGGOG00000005148 ENSPPYG00000001064 ENSMMUG00000020851
ENSG00000112984 ENSPTRG00000017281 ENSGGOG00000007112 ENSPPYG00000015822 ENSMMUG00000001511
ENSG00000168701 ENSPTRG00000008222 ENSGGOG00000001482 ENSPPYG00000007448 ENSMMUG00000020263
ENSG00000153179 ENSPTRG00000005175 ENSGGOG00000015349 ENSPPYG00000004729 ENSMMUG00000023229
ENSG00000010310 ENSPTRG00000011161 ENSGGOG00000016144 ENSPPYG00000010128 ENSMMUG00000006936
ENSG00000139644 ENSPTRG00000004914 ENSGGOG00000008786 ENSPPYG00000004495 ENSMMUG00000005960
ENSG00000101280 ENSPTRG00000013153 ENSGGOG00000016849 ENSPPYG00000010861 ENSMMUG00000000270
ENSG00000115226 ENSPTRG00000011772 ENSGGOG00000012774 ENSPPYG00000012543 ENSMMUG00000005101
ENSG00000131747 ENSPTRG00000009122 ENSGGOG00000012704 ENSPPYG00000008460 ENSMMUG00000008941
ENSG00000124523 ENSPTRG00000017736 ENSGGOG00000025115 ENSPPYG00000016242 ENSMMUG00000008678
ENSG00000156603 ENSPTRG00000003667 ENSGGOG00000027027 ENSPPYG00000003264 ENSMMUG00000002562
ENSG00000139926 ENSPTRG00000006340 ENSGGOG00000002249 ENSPPYG00000005811 ENSMMUG00000018274
ENSG00000135801 ENSPTRG00000002091 ENSGGOG00000028544 ENSPPYG00000000124 ENSMMUG00000009508
ENSG00000108406 ENSPTRG00000009471 ENSGGOG00000000426 ENSPPYG00000008812 ENSMMUG00000022042
ENSG00000188786 ENSPTRG00000022932 ENSGGOG00000007624 ENSPPYG00000001521 ENSMMUG00000023275
ENSG00000100234 ENSPTRG00000014292 ENSGGOG00000013242 ENSPPYG00000011757 ENSMMUG00000006734
ENSG00000074317 ENSPTRG00000017567 ENSGGOG00000015845 ENSPPYG00000016076 ENSMMUG00000000137
ENSG00000166961 ENSPTRG00000003719 ENSGGOG00000011837 ENSPPYG00000004097 ENSMMUG00000000017
ENSG00000169379 ENSPTRG00000015129 ENSGGOG00000003567 ENSPPYG00000013629 ENSMMUG00000020335
ENSG00000173120 ENSPTRG00000003945 ENSGGOG00000001636 ENSPPYG00000003001 ENSMMUG00000008771
ENSG00000161513 ENSPTRG00000009620 ENSGGOG00000003306 ENSPPYG00000008607 ENSMMUG00000015648
ENSG00000054282 ENSPTRG00000002173 ENSGGOG00000007709 ENSPPYG00000000061 ENSMMUG00000019994
ENSG00000112812 ENSPTRG00000017843 ENSGGOG00000009710 ENSPPYG00000016341 ENSMMUG00000017009
ENSG00000164050 ENSPTRG00000014884 ENSGGOG00000006231 ENSPPYG00000013906 ENSMMUG00000003074
ENSG00000095585 ENSPTRG00000002792 ENSGGOG00000001032 ENSPPYG00000002517 ENSMMUG00000008687
ENSG00000166523 ENSPTRG00000004639 ENSGGOG00000012219 ENSPPYG00000004241 ENSMMUG00000013706
ENSG00000186369 ENSPTRG00000006422 ENSGGOG00000003447 ENSPPYG00000005884 ENSMMUG00000008765
ENSG00000106244 ENSPTRG00000019450 ENSGGOG00000025196 ENSPPYG00000017375 ENSMMUG00000001460
ENSG00000198796 ENSPTRG00000010052 ENSGGOG00000013746 ENSPPYG00000009187 ENSMMUG00000006635
ENSG00000138050 ENSPTRG00000011860 ENSGGOG00000001608 ENSPPYG00000012470 ENSMMUG00000011841
ENSG00000173011 ENSPTRG00000015893 ENSGGOG00000016386 ENSPPYG00000014574 ENSMMUG00000017002
ENSG00000107819 ENSPTRG00000002864 ENSGGOG00000015442 ENSPPYG00000002579 ENSMMUG00000022620
ENSG00000118557 ENSPTRG00000008339 ENSGGOG00000013067 ENSPPYG00000007514 ENSMMUG00000000680
ENSG00000179673 ENSPTRG00000009324 ENSGGOG00000000099 ENSPPYG00000008289 ENSMMUG00000022415
ENSG00000078114 ENSPTRG00000002343 ENSGGOG00000005437 ENSPPYG00000002136 ENSMMUG00000010589
ENSG00000133422 ENSPTRG00000014257 ENSGGOG00000015067 ENSPPYG00000011722 ENSMMUG00000005898
ENSG00000167595 ENSPTRG00000010865 ENSGGOG00000016847 ENSPPYG00000009882 ENSMMUG00000002392
ENSG00000107614 ENSPTRG00000002327 ENSGGOG00000026112 ENSPPYG00000002122 ENSMMUG00000003192
ENSG00000108523 ENSPTRG00000008615 ENSGGOG00000000219 ENSPPYG00000007849 ENSMMUG00000002769
ENSG00000116525 ENSPTRG00000000502 ENSGGOG00000013967 ENSPPYG00000001576 ENSMMUG00000015097
ENSG00000173269 ENSPTRG00000002707 ENSGGOG00000009082 ENSPPYG00000002269 ENSMMUG00000011851
ENSG00000152592 ENSPTRG00000016262 ENSGGOG00000026902 ENSPPYG00000014917 ENSMMUG00000011114
ENSG00000131979 ENSPTRG00000006365 ENSGGOG00000011080 ENSPPYG00000005833 ENSMMUG00000004084
ENSG00000150455 ENSPTRG00000004458 ENSGGOG00000013987 ENSPPYG00000004047 ENSMMUG00000007946
ENSG00000123143 ENSPTRG00000010591 ENSGGOG00000015787 ENSPPYG00000009643 ENSMMUG00000005727
ENSG00000176619 ENSPTRG00000010238 ENSGGOG00000003462 ENSPPYG00000009353 ENSMMUG00000001192
ENSG00000105221 ENSPTRG00000010992 ENSGGOG00000001397 ENSPPYG00000009986 ENSMMUG00000003621
ENSG00000176092 ENSPTRG00000000382 ENSGGOG00000007699 ENSPPYG00000001686 ENSMMUG00000010241
ENSG00000167476 ENSPTRG00000010229 ENSGGOG00000025717 ENSPPYG00000009344 ENSMMUG00000000311
ENSG00000141510 ENSPTRG00000008703 ENSGGOG00000009786 ENSPPYG00000007934 ENSMMUG00000008639
ENSG00000121270 ENSPTRG00000008092 ENSGGOG00000005674 ENSPPYG00000007327 ENSMMUG00000008290
ENSG00000094755 ENSPTRG00000017520 ENSGGOG00000003834 ENSPPYG00000016147 ENSMMUG00000000570
ENSG00000163067 ENSPTRG00000012207 ENSGGOG00000007848 ENSPPYG00000012053 ENSMMUG00000019423
