Human Chimpanzee Gorilla Orangutan Macaque Mouse Opossum Platypus Chicken
ENSG00000124145 ENSPTRG00000013543 ENSGGOG00000004153 ENSPPYG00000011054 ENSMMUG00000003406 ENSMUSG00000017009 ENSMODG00000016186 ENSOANG00000010559 ENSGALG00000003932
ENSG00000165650 ENSPTRG00000002980 ENSGGOG00000002530 ENSPPYG00000002691 ENSMMUG00000014819 ENSMUSG00000074746 ENSMODG00000009394 ENSOANG00000014131 ENSGALG00000009295
ENSG00000005206 ENSPTRG00000010234 ENSGGOG00000010177 ENSPPYG00000009349 ENSMMUG00000000453 ENSMUSG00000035206 ENSMODG00000004756 ENSOANG00000009197 ENSGALG00000000430
ENSG00000164168 ENSPTRG00000016495 ENSGGOG00000013660 ENSPPYG00000015110 ENSMMUG00000004977 ENSMUSG00000031617 ENSMODG00000000670 ENSOANG00000005263 ENSGALG00000010019
ENSG00000163380 ENSPTRG00000015097 ENSGGOG00000015200 ENSPPYG00000013727 ENSMMUG00000008628 ENSMUSG00000044086 ENSMODG00000003639 ENSOANG00000000487 ENSGALG00000018946
ENSG00000161013 ENSPTRG00000017625 ENSGGOG00000024066 ENSPPYG00000016129 ENSMMUG00000012374 ENSMUSG00000036620 ENSMODG00000003778 ENSOANG00000013588 ENSGALG00000005924
ENSG00000112701 ENSPTRG00000018357 ENSGGOG00000006460 ENSPPYG00000016784 ENSMMUG00000004491 ENSMUSG00000034252 ENSMODG00000018495 ENSOANG00000000941 ENSGALG00000015901
ENSG00000186666 ENSPTRG00000004916 ENSGGOG00000002996 ENSPPYG00000004498 ENSMMUG00000022911 ENSMUSG00000037525 ENSMODG00000004282 ENSOANG00000007743 ENSGALG00000024387
ENSG00000100532 ENSPTRG00000006363 ENSGGOG00000000676 ENSPPYG00000005831 ENSMMUG00000004594 ENSMUSG00000055128 ENSMODG00000011646 ENSOANG00000021333 ENSGALG00000012206
ENSG00000172339 ENSPTRG00000000980 ENSGGOG00000004834 ENSPPYG00000001136 ENSMMUG00000023641 ENSMUSG00000039887 ENSMODG00000004291 ENSOANG00000012719 ENSGALG00000005583
ENSG00000033867 ENSPTRG00000014704 ENSGGOG00000011232 ENSPPYG00000014056 ENSMMUG00000019327 ENSMUSG00000021733 ENSMODG00000015030 ENSOANG00000002769 ENSGALG00000011405
ENSG00000101463 ENSPTRG00000013333 ENSGGOG00000000617 ENSPPYG00000010778 ENSMMUG00000015852 ENSMUSG00000074736 ENSMODG00000006293 ENSOANG00000010870 ENSGALG00000008662
ENSG00000057657 ENSPTRG00000018457 ENSGGOG00000001929 ENSPPYG00000016879 ENSMMUG00000021401 ENSMUSG00000038151 ENSMODG00000018029 ENSOANG00000004176 ENSGALG00000015388
ENSG00000168743 ENSPTRG00000016343 ENSGGOG00000013715 ENSPPYG00000014979 ENSMMUG00000023428 ENSMUSG00000040998 ENSMODG00000020620 ENSOANG00000002771 ENSGALG00000010566
ENSG00000213949 ENSPTRG00000016859 ENSGGOG00000022320 ENSPPYG00000015450 ENSMMUG00000001753 ENSMUSG00000042284 ENSMODG00000019448 ENSOANG00000021947 ENSGALG00000014891
ENSG00000141429 ENSPTRG00000009972 ENSGGOG00000006840 ENSPPYG00000009109 ENSMMUG00000000457 ENSMUSG00000000420 ENSMODG00000000501 ENSOANG00000001744 ENSGALG00000013135
ENSG00000180190 ENSPTRG00000019935 ENSGGOG00000027280 ENSPPYG00000018303 ENSMMUG00000011108 ENSMUSG00000050052 ENSMODG00000014238 ENSOANG00000004691 ENSGALG00000016356
ENSG00000197712 ENSPTRG00000023549 ENSGGOG00000012372 ENSPPYG00000014670 ENSMMUG00000004471 ENSMUSG00000029185 ENSMODG00000020533 ENSOANG00000010319 ENSGALG00000013583
ENSG00000123243 ENSPTRG00000002273 ENSGGOG00000001171 ENSPPYG00000002073 ENSMMUG00000015850 ENSMUSG00000025780 ENSMODG00000016687 ENSOANG00000015447 ENSGALG00000006891
ENSG00000168710 ENSPTRG00000001067 ENSGGOG00000011791 ENSPPYG00000001058 ENSMMUG00000022715 ENSMUSG00000027893 ENSMODG00000001821 ENSOANG00000005884 ENSGALG00000000329
ENSG00000164675 ENSPTRG00000019636 ENSGGOG00000015921 ENSPPYG00000017955 ENSMMUG00000011536 ENSMUSG00000046192 ENSMODG00000015389 ENSOANG00000004826 ENSGALG00000008823
ENSG00000128805 ENSPTRG00000002479 ENSGGOG00000001347 ENSPPYG00000002247 ENSMMUG00000004063 ENSMUSG00000063506 ENSMODG00000002216 ENSOANG00000013846 ENSGALG00000006137
ENSG00000132361 ENSPTRG00000008552 ENSGGOG00000013465 ENSPPYG00000007797 ENSMMUG00000020527 ENSMUSG00000020741 ENSMODG00000010807 ENSOANG00000015077 ENSGALG00000005854
ENSG00000171503 ENSPTRG00000016553 ENSGGOG00000025606 ENSPPYG00000015158 ENSMMUG00000004644 ENSMUSG00000027809 ENSMODG00000002009 ENSOANG00000014978 ENSGALG00000009442
ENSG00000144460 ENSPTRG00000012988 ENSGGOG00000002537 ENSPPYG00000013233 ENSMMUG00000013743 ENSMUSG00000054976 ENSMODG00000021206 ENSOANG00000011214 ENSGALG00000004966
ENSG00000134317 ENSPTRG00000011643 ENSGGOG00000002692 ENSPPYG00000012661 ENSMMUG00000001535 ENSMUSG00000020656 ENSMODG00000014753 ENSOANG00000007788 ENSGALG00000016439
ENSG00000155903 ENSPTRG00000015472 ENSGGOG00000023738 ENSPPYG00000014165 ENSMMUG00000009418 ENSMUSG00000032413 ENSMODG00000021230 ENSOANG00000002775 ENSGALG00000002850
ENSG00000008282 ENSPTRG00000019570 ENSGGOG00000006497 ENSPPYG00000018292 ENSMMUG00000019593 ENSMUSG00000020570 ENSMODG00000017394 ENSOANG00000015170 ENSGALG00000008106
ENSG00000181192 ENSPTRG00000002292 ENSGGOG00000010847 ENSPPYG00000002833 ENSMMUG00000017136 ENSMUSG00000025815 ENSMODG00000016802 ENSOANG00000015423 ENSGALG00000003674
ENSG00000071243 ENSPTRG00000019625 ENSGGOG00000004349 ENSPPYG00000017945 ENSMMUG00000002434 ENSMUSG00000029670 ENSMODG00000015490 ENSOANG00000005653 ENSGALG00000009023
ENSG00000102024 ENSPTRG00000022205 ENSGGOG00000008810 ENSPPYG00000020649 ENSMMUG00000006377 ENSMUSG00000016382 ENSMODG00000004940 ENSOANG00000007227 ENSGALG00000005930
ENSG00000137672 ENSPTRG00000004207 ENSGGOG00000009198 ENSPPYG00000003802 ENSMMUG00000011835 ENSMUSG00000031997 ENSMODG00000000537 ENSOANG00000010492 ENSGALG00000017194
ENSG00000168389 ENSPTRG00000000581 ENSGGOG00000015275 ENSPPYG00000001497 ENSMMUG00000011264 ENSMUSG00000028655 ENSMODG00000017646 ENSOANG00000002711 ENSGALG00000003879
ENSG00000176915 ENSPTRG00000005658 ENSGGOG00000010050 ENSPPYG00000005147 ENSMMUG00000015467 ENSMUSG00000029501 ENSMODG00000015199 ENSOANG00000010622 ENSGALG00000002143
ENSG00000119899 ENSPTRG00000018348 ENSGGOG00000002667 ENSPPYG00000016778 ENSMMUG00000008133 ENSMUSG00000049624 ENSMODG00000018522 ENSOANG00000012352 ENSGALG00000015916
ENSG00000168438 ENSPTRG00000018495 ENSGGOG00000002453 ENSPPYG00000016919 ENSMMUG00000008182 ENSMUSG00000038446 ENSMODG00000017939 ENSOANG00000000939 ENSGALG00000015061
ENSG00000126883 ENSPTRG00000021482 ENSGGOG00000017169 ENSPPYG00000019699 ENSMMUG00000021724 ENSMUSG00000001855 ENSMODG00000012396 ENSOANG00000014776 ENSGALG00000003830
ENSG00000164975 ENSPTRG00000020785 ENSGGOG00000006757 ENSPPYG00000019207 ENSMMUG00000016189 ENSMUSG00000028483 ENSMODG00000014956 ENSOANG00000010116 ENSGALG00000011323
ENSG00000146950 ENSPTRG00000021652 ENSGGOG00000012923 ENSPPYG00000020116 ENSMMUG00000006193 ENSMUSG00000045180 ENSMODG00000017449 ENSOANG00000009689 ENSGALG00000016614
ENSG00000198898 ENSPTRG00000019615 ENSGGOG00000012158 ENSPPYG00000017933 ENSMMUG00000006784 ENSMUSG00000015733 ENSMODG00000015812 ENSOANG00000000893 ENSGALG00000009385
ENSG00000131620 ENSPTRG00000004003 ENSGGOG00000013637 ENSPPYG00000002956 ENSMMUG00000019734 ENSMUSG00000031075 ENSMODG00000019768 ENSOANG00000007411 ENSGALG00000007617
ENSG00000164070 ENSPTRG00000016433 ENSGGOG00000013848 ENSPPYG00000015056 ENSMMUG00000015245 ENSMUSG00000025757 ENSMODG00000012257 ENSOANG00000004367 ENSGALG00000010185
ENSG00000030304 ENSPTRG00000021248 ENSGGOG00000015657 ENSPPYG00000019494 ENSMMUG00000007065 ENSMUSG00000057280 ENSMODG00000003983 ENSOANG00000006972 ENSGALG00000015728
ENSG00000114541 ENSPTRG00000015098 ENSGGOG00000002181 ENSPPYG00000013726 ENSMMUG00000000387 ENSMUSG00000030064 ENSMODG00000003688 ENSOANG00000000486 ENSGALG00000014627
ENSG00000102984 ENSPTRG00000008328 ENSGGOG00000005863 ENSPPYG00000007523 ENSMMUG00000016716 ENSMUSG00000031728 ENSMODG00000002425 ENSOANG00000008189 ENSGALG00000000817
ENSG00000106927 ENSPTRG00000021284 ENSGGOG00000014191 ENSPPYG00000019528 ENSMMUG00000008559 ENSMUSG00000028356 ENSMODG00000004020 ENSOANG00000003126 ENSGALG00000008973
ENSG00000101577 ENSPTRG00000009833 ENSGGOG00000000330 ENSPPYG00000009036 ENSMMUG00000017548 ENSMUSG00000024052 ENSMODG00000021466 ENSOANG00000008912 ENSGALG00000014836
ENSG00000169372 ENSPTRG00000005300 ENSGGOG00000025856 ENSPPYG00000004835 ENSMMUG00000012670 ENSMUSG00000045867 ENSMODG00000009439 ENSOANG00000006624 ENSGALG00000011297
ENSG00000169218 ENSPTRG00000000550 ENSGGOG00000007712 ENSPPYG00000001528 ENSMMUG00000008420 ENSMUSG00000028871 ENSMODG00000023326 ENSOANG00000002054 ENSGALG00000001946
ENSG00000166183 ENSPTRG00000006766 ENSGGOG00000003238 ENSPPYG00000006181 ENSMMUG00000014295 ENSMUSG00000037686 ENSMODG00000013615 ENSOANG00000000798 ENSGALG00000011572
ENSG00000172172 ENSPTRG00000020541 ENSGGOG00000024629 ENSPPYG00000018847 ENSMMUG00000002599 ENSMUSG00000022370 ENSMODG00000002300 ENSOANG00000000414 ENSGALG00000016405
ENSG00000093167 ENSPTRG00000014745 ENSGGOG00000001784 ENSPPYG00000014020 ENSMMUG00000022539 ENSMUSG00000032497 ENSMODG00000013326 ENSOANG00000015304 ENSGALG00000012266
ENSG00000166068 ENSPTRG00000006903 ENSGGOG00000022992 ENSPPYG00000006334 ENSMMUG00000010704 ENSMUSG00000027351 ENSMODG00000001166 ENSOANG00000010061 ENSGALG00000009750
ENSG00000198087 ENSPTRG00000018244 ENSGGOG00000009343 ENSPPYG00000016677 ENSMMUG00000017952 ENSMUSG00000061665 ENSMODG00000018870 ENSOANG00000008279 ENSGALG00000016720
ENSG00000133687 ENSPTRG00000004800 ENSGGOG00000009789 ENSPPYG00000004392 ENSMMUG00000015817 ENSMUSG00000030306 ENSMODG00000014377 ENSOANG00000010584 ENSGALG00000012956
ENSG00000177614 ENSPTRG00000002094 ENSGGOG00000005004 ENSPPYG00000000122 ENSMMUG00000002287 ENSMUSG00000050751 ENSMODG00000009166 ENSOANG00000013735 ENSGALG00000011111
ENSG00000151079 ENSPTRG00000029830 ENSGGOG00000025596 ENSPPYG00000004173 ENSMMUG00000020816 ENSMUSG00000038077 ENSMODG00000018007 ENSOANG00000014376 ENSGALG00000017281
ENSG00000134313 ENSPTRG00000011633 ENSGGOG00000009822 ENSPPYG00000012670 ENSMMUG00000021036 ENSMUSG00000036333 ENSMODG00000014660 ENSOANG00000007570 ENSGALG00000016409
ENSG00000137819 ENSPTRG00000007226 ENSGGOG00000003967 ENSPPYG00000006599 ENSMMUG00000014886 ENSMUSG00000032278 ENSMODG00000009253 ENSOANG00000013535 ENSGALG00000008077
ENSG00000066185 ENSPTRG00000000608 ENSGGOG00000004654 ENSPPYG00000001470 ENSMMUG00000001034 ENSMUSG00000070806 ENSMODG00000017311 ENSOANG00000009725 ENSGALG00000004884
ENSG00000016402 ENSPTRG00000018640 ENSGGOG00000000380 ENSPPYG00000017037 ENSMMUG00000013566 ENSMUSG00000020007 ENSMODG00000017429 ENSOANG00000005257 ENSGALG00000013869
ENSG00000184613 ENSPTRG00000004848 ENSGGOG00000007812 ENSPPYG00000004430 ENSMMUG00000017279 ENSMUSG00000022454 ENSMODG00000018531 ENSOANG00000022678 ENSGALG00000009601
ENSG00000135046 ENSPTRG00000021024 ENSGGOG00000004678 ENSPPYG00000019293 ENSMMUG00000012667 ENSMUSG00000024659 ENSMODG00000002183 ENSOANG00000013140 ENSGALG00000015148
ENSG00000164050 ENSPTRG00000014884 ENSGGOG00000006231 ENSPPYG00000013906 ENSMMUG00000003074 ENSMUSG00000053646 ENSMODG00000014384 ENSOANG00000004295 ENSGALG00000006526
ENSG00000168685 ENSPTRG00000016790 ENSGGOG00000014862 ENSPPYG00000015396 ENSMMUG00000001676 ENSMUSG00000003882 ENSMODG00000020367 ENSOANG00000004142 ENSGALG00000013372
ENSG00000135372 ENSPTRG00000003494 ENSGGOG00000014560 ENSPPYG00000003367 ENSMMUG00000021646 ENSMUSG00000027185 ENSMODG00000009890 ENSOANG00000007400 ENSGALG00000014573
ENSG00000171119 ENSPTRG00000010344 ENSGGOG00000006255 ENSPPYG00000009436 ENSMMUG00000001684 ENSMUSG00000039481 ENSMODG00000016217 ENSOANG00000004218 ENSGALG00000021647
ENSG00000114480 ENSPTRG00000015119 ENSGGOG00000026805 ENSPPYG00000025891 ENSMMUG00000015877 ENSMUSG00000022707 ENSMODG00000016876 ENSOANG00000013801 ENSGALG00000015506
ENSG00000001631 ENSPTRG00000019393 ENSGGOG00000001906 ENSPPYG00000017822 ENSMMUG00000014907 ENSMUSG00000000600 ENSMODG00000010670 ENSOANG00000021458 ENSGALG00000009384
ENSG00000143995 ENSPTRG00000011994 ENSGGOG00000005446 ENSPPYG00000012356 ENSMMUG00000011216 ENSMUSG00000020160 ENSMODG00000003396 ENSOANG00000012441 ENSGALG00000008774
ENSG00000167995 ENSPTRG00000003756 ENSGGOG00000011404 ENSPPYG00000003174 ENSMMUG00000015147 ENSMUSG00000037418 ENSMODG00000007571 ENSOANG00000005059 ENSGALG00000007217
ENSG00000078140 ENSPTRG00000015998 ENSGGOG00000003261 ENSPPYG00000014680 ENSMMUG00000011325 ENSMUSG00000029203 ENSMODG00000020556 ENSOANG00000010336 ENSGALG00000014290
ENSG00000107618 ENSPTRG00000002473 ENSGGOG00000000272 ENSPPYG00000002240 ENSMMUG00000011909 ENSMUSG00000041534 ENSMODG00000002069 ENSOANG00000015413 ENSGALG00000005978
ENSG00000143970 ENSPTRG00000011726 ENSGGOG00000011013 ENSPPYG00000012589 ENSMMUG00000001377 ENSMUSG00000037486 ENSMODG00000015832 ENSOANG00000015834 ENSGALG00000016531
ENSG00000179600 ENSPTRG00000006425 ENSGGOG00000007121 ENSPPYG00000005888 ENSMMUG00000008204 ENSMUSG00000048982 ENSMODG00000008956 ENSOANG00000009096 ENSGALG00000011843
ENSG00000106799 ENSPTRG00000021182 ENSGGOG00000003634 ENSPPYG00000019439 ENSMMUG00000001304 ENSMUSG00000007613 ENSMODG00000012679 ENSOANG00000014872 ENSGALG00000012617
ENSG00000140553 ENSPTRG00000007465 ENSGGOG00000008205 ENSPPYG00000006789 ENSMMUG00000005106 ENSMUSG00000030533 ENSMODG00000019488 ENSOANG00000022352 ENSGALG00000008315
ENSG00000162998 ENSPTRG00000012708 ENSGGOG00000005758 ENSPPYG00000012995 ENSMMUG00000014396 ENSMUSG00000027004 ENSMODG00000010519 ENSOANG00000003625 ENSGALG00000002763
ENSG00000084676 ENSPTRG00000011715 ENSGGOG00000011279 ENSPPYG00000012598 ENSMMUG00000020838 ENSMUSG00000020647 ENSMODG00000015907 ENSOANG00000004546 ENSGALG00000016617
ENSG00000186073 ENSPTRG00000006899 ENSGGOG00000013161 ENSPPYG00000006331 ENSMMUG00000006837 ENSMUSG00000040282 ENSMODG00000001293 ENSOANG00000012593 ENSGALG00000009801
ENSG00000110888 ENSPTRG00000004802 ENSGGOG00000006182 ENSPPYG00000004394 ENSMMUG00000001359 ENSMUSG00000030309 ENSMODG00000012642 ENSOANG00000004769 ENSGALG00000012947
ENSG00000134769 ENSPTRG00000009964 ENSGGOG00000003601 ENSPPYG00000009100 ENSMMUG00000003302 ENSMUSG00000024302 ENSMODG00000010667 ENSOANG00000005607 ENSGALG00000015211
ENSG00000160223 ENSPTRG00000013972 ENSGGOG00000012425 ENSPPYG00000011481 ENSMMUG00000010647 ENSMUSG00000000732 ENSMODG00000021083 ENSOANG00000006479 ENSGALG00000016212
ENSG00000101146 ENSPTRG00000013658 ENSGGOG00000007789 ENSPPYG00000011159 ENSMMUG00000000252 ENSMUSG00000027509 ENSMODG00000016454 ENSOANG00000009257 ENSGALG00000007653
ENSG00000177182 ENSPTRG00000020288 ENSGGOG00000007625 ENSPPYG00000018621 ENSMMUG00000008774 ENSMUSG00000041216 ENSMODG00000008372 ENSOANG00000005044 ENSGALG00000015476
ENSG00000182752 ENSPTRG00000021296 ENSGGOG00000007107 ENSPPYG00000019541 ENSMMUG00000013099 ENSMUSG00000028370 ENSMODG00000019600 ENSOANG00000002094 ENSGALG00000007079
ENSG00000112357 ENSPTRG00000018638 ENSGGOG00000002773 ENSPPYG00000017035 ENSMMUG00000016382 ENSMUSG00000020003 ENSMODG00000017434 ENSOANG00000011627 ENSGALG00000013874
ENSG00000156171 ENSPTRG00000001087 ENSGGOG00000009572 ENSPPYG00000001041 ENSMMUG00000002463 ENSMUSG00000027900 ENSMODG00000001548 ENSOANG00000014267 ENSGALG00000000124
ENSG00000130779 ENSPTRG00000005578 ENSGGOG00000002019 ENSPPYG00000005067 ENSMMUG00000021928 ENSMUSG00000049550 ENSMODG00000012253 ENSOANG00000006200 ENSGALG00000004467
ENSG00000166398 ENSPTRG00000010815 ENSGGOG00000010326 ENSPPYG00000009834 ENSMMUG00000005879 ENSMUSG00000066571 ENSMODG00000011999 ENSOANG00000009579 ENSGALG00000004949
ENSG00000198216 ENSPTRG00000001749 ENSGGOG00000011090 ENSPPYG00000000442 ENSMMUG00000014498 ENSMUSG00000004110 ENSMODG00000006729 ENSOANG00000000975 ENSGALG00000003833
ENSG00000185324 ENSPTRG00000008485 ENSGGOG00000010935 ENSPPYG00000007669 ENSMMUG00000002503 ENSMUSG00000033862 ENSMODG00000003504 ENSOANG00000004834 ENSGALG00000006144
ENSG00000082212 ENSPTRG00000010026 ENSGGOG00000010823 ENSPPYG00000009163 ENSMMUG00000022001 ENSMUSG00000024556 ENSMODG00000010968 ENSOANG00000008119 ENSGALG00000022329
ENSG00000131023 ENSPTRG00000018696 ENSGGOG00000000545 ENSPPYG00000017091 ENSMMUG00000009827 ENSMUSG00000040021 ENSMODG00000016812 ENSOANG00000001067 ENSGALG00000012386
ENSG00000074527 ENSPTRG00000005315 ENSGGOG00000013684 ENSPPYG00000004846 ENSMMUG00000000521 ENSMUSG00000020019 ENSMODG00000008108 ENSOANG00000006613 ENSGALG00000011406
ENSG00000180251 ENSPTRG00000012304 ENSGGOG00000014583 ENSPPYG00000012114 ENSMMUG00000004164 ENSMUSG00000026065 ENSMODG00000002416 ENSOANG00000012242 ENSGALG00000016790
ENSG00000145833 ENSPTRG00000017248 ENSGGOG00000013843 ENSPPYG00000015792 ENSMMUG00000012463 ENSMUSG00000021500 ENSMODG00000014331 ENSOANG00000001842 ENSGALG00000006404
ENSG00000109819 ENSPTRG00000015954 ENSGGOG00000009810 ENSPPYG00000014640 ENSMMUG00000001844 ENSMUSG00000029167 ENSMODG00000000549 ENSOANG00000006680 ENSGALG00000014398
