"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS000028(PRS),"PGP000018|Shieh Y et al. Breast Cancer Res Treat (2016)","Breast cancer","breast carcinoma",83,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000028/ScoringFiles/PGS000028.txt.gz
PGS000029(PRS_AS),"PGP000018|Shieh Y et al. Breast Cancer Res Treat (2016)","Breast cancer","breast carcinoma",76,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000029/ScoringFiles/PGS000029.txt.gz
PGS000030(PrCa),"PGP000019|Schumacher FR et al. Nat Genet (2018)","Prostate cancer","prostate carcinoma",147,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000030/ScoringFiles/PGS000030.txt.gz
PGS000031(GRSt),"PGP000020|Vassy JL et al. Diabetes (2014)","Type 2 diabetes","type II diabetes mellitus",62,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000031/ScoringFiles/PGS000031.txt.gz
PGS000032(GRSB),"PGP000020|Vassy JL et al. Diabetes (2014)","Type 2 diabetes (based on SNPs involved in β-cell function)","type II diabetes mellitus",20,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000032/ScoringFiles/PGS000032.txt.gz
PGS000033(GRSIR),"PGP000020|Vassy JL et al. Diabetes (2014)","Type 2 diabetes (based on SNPs involved in insulin resistance)","type II diabetes mellitus",10,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000033/ScoringFiles/PGS000033.txt.gz
PGS000034(GRS_BMI),"PGP000021|Song M et al. Diabetes (2017)","Adult Body Mass Index","body mass index",97,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000034/ScoringFiles/PGS000034.txt.gz
PGS000035(PRS_AF),"PGP000022|Weng LC et al. Circulation (2017)","Atrial fibrillation","atrial fibrillation","1,168",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000035/ScoringFiles/PGS000035.txt.gz
PGS000036(gePS_T2D),"PGP000023|Mahajan A et al. Nat Genet (2018)","Type 2 diabetes","type II diabetes mellitus","171,249",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000036/ScoringFiles/PGS000036.txt.gz
PGS000037(PGS_AST),"PGP000025|Belsky DW et al. Lancet Respir Med (2013)",Asthma,asthma,15,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000037/ScoringFiles/PGS000037.txt.gz
PGS000038(PRS90),"PGP000026|Rutten-Jacobs LC et al. BMJ (2018)",Stroke,stroke,90,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000038/ScoringFiles/PGS000038.txt.gz
PGS000039(metaGRS_ischaemicstroke),"PGP000027|Abraham G et al. Nat Commun (2019)","Ischaemic stroke","stroke,<br>Ischemic stroke","3,225,583",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000039/ScoringFiles/PGS000039.txt.gz
PGS000040(GRS_CeD),"PGP000028|Abraham G et al. PLoS Genet (2014)","Coeliac disease","celiac disease",228,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000040/ScoringFiles/PGS000040.txt.gz
PGS000041(GRS-DQ2.5-CeD),"PGP000029|Abraham G et al. Genome Med (2015)","Coeliac disease","celiac disease","2,513",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000041/ScoringFiles/PGS000041.txt.gz
PGS000042(GRS-DQ2.5-CeD-imputed),"PGP000029|Abraham G et al. Genome Med (2015)","Coeliac disease","celiac disease","3,317",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000042/ScoringFiles/PGS000042.txt.gz
PGS000043(PRS_VTE),"PGP000030|Klarin D et al. Nat Genet (2019)","Venous thromboembolism","venous thromboembolism",297,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000043/ScoringFiles/PGS000043.txt.gz
PGS000044(PrCa66),"PGP000031|Pashayan N et al. Br J Cancer (2015)","Prostate cancer","prostate carcinoma",66,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000044/ScoringFiles/PGS000044.txt.gz
PGS000045(BCPRS_Overall),"PGP000033|Kuchenbaecker KB et al. J Natl Cancer Inst (2017)","Breast cancer","breast carcinoma",88,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000045/ScoringFiles/PGS000045.txt.gz
PGS000046(BCPRS_ER+),"PGP000033|Kuchenbaecker KB et al. J Natl Cancer Inst (2017)","Estrogen receptor [ER]-positive breast cancer","estrogen-receptor positive breast cancer",87,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000046/ScoringFiles/PGS000046.txt.gz
PGS000047(BCPRS_ER-),"PGP000033|Kuchenbaecker KB et al. J Natl Cancer Inst (2017)","Estrogen receptor [ER]-negative breast cancer","estrogen-receptor negative breast cancer",53,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000047/ScoringFiles/PGS000047.txt.gz
PGS000048(OCPRS_Overall),"PGP000033|Kuchenbaecker KB et al. J Natl Cancer Inst (2017)","Ovarian cancer","ovarian carcinoma",17,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000048/ScoringFiles/PGS000048.txt.gz
PGS000049(PRS103_PrCa),"PGP000034|Lecarpentier J et al. J Clin Oncol (2017)","Prostate Cancer","prostate carcinoma",103,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000049/ScoringFiles/PGS000049.txt.gz
PGS000050(PRS44),"PGP000035|Wen W et al. Breast Cancer Res (2016)","Breast cancer","breast carcinoma",44,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000050/ScoringFiles/PGS000050.txt.gz
PGS000051(PRS67),"PGP000036|Zhang X et al. PLoS Med (2018)","Breast Cancer","breast carcinoma",67,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000051/ScoringFiles/PGS000051.txt.gz
PGS000052(sPRS161),"PGP000037|Lakeman IMM et al. J Med Genet (2019)","Breast cancer","breast carcinoma",161,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000052/ScoringFiles/PGS000052.txt.gz
PGS000053(ALZ21_NIA-LOAD),"PGP000039|Tosto G et al. Neurology (2017)","Alzheimer's disease (late onset)","late-onset Alzheimers disease",21,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000053/ScoringFiles/PGS000053.txt.gz
PGS000054(ALZ21_EFIGA),"PGP000039|Tosto G et al. Neurology (2017)","Alzheimer's disease (late onset)","late-onset Alzheimers disease",21,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000054/ScoringFiles/PGS000054.txt.gz
PGS000055(PRS_CRC),"PGP000040|Schmit SL et al. J Natl Cancer Inst (2019)","Colorectal cancer","colorectal cancer",76,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000055/ScoringFiles/PGS000055.txt.gz
PGS000056(PD_PRS),"PGP000041|Paul KC et al. JAMA Neurol (2018)","Parkinson Disease","Parkinson's disease",23,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000056/ScoringFiles/PGS000056.txt.gz
PGS000057(CHD57),"PGP000042|Natarajan P et al. Circulation (2017)","Coronary heart disease","coronary artery disease",57,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000057/ScoringFiles/PGS000057.txt.gz
PGS000058(CAD_GRS_204),"PGP000043|Morieri ML et al. Diabetes Care (2018)","Coronary artery disease","coronary artery disease",204,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000058/ScoringFiles/PGS000058.txt.gz
PGS000059(CHD46),"PGP000044|Hajek C et al. Circ Genom Precis Med (2018)","Coronary heart disease","coronary artery disease",46,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000059/ScoringFiles/PGS000059.txt.gz
PGS000060(GRS_HDL),"PGP000045|Johnson L et al. PLoS One (2015)","high-density lipoprotein (HDL) cholesterol","high density lipoprotein cholesterol measurement",46,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000060/ScoringFiles/PGS000060.txt.gz
PGS000061(GRS_LDL),"PGP000045|Johnson L et al. PLoS One (2015)","low-density lipoprotein (LDL) cholesterol","low density lipoprotein cholesterol measurement",37,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000061/ScoringFiles/PGS000061.txt.gz
PGS000062(GRS_TC),"PGP000045|Johnson L et al. PLoS One (2015)","total cholesterol","total cholesterol measurement",52,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000062/ScoringFiles/PGS000062.txt.gz
PGS000063(GRS_TG),"PGP000045|Johnson L et al. PLoS One (2015)",triglycerides,"triglyceride measurement",32,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000063/ScoringFiles/PGS000063.txt.gz
PGS000064(GLGC2017_HDL),"PGP000046|Kuchenbaecker K et al. Nat Commun (2019)","High density lipoprotein (HDL) cholesterol","high density lipoprotein cholesterol measurement",120,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000064/ScoringFiles/PGS000064.txt.gz
PGS000065(GLGC2017_LDL),"PGP000046|Kuchenbaecker K et al. Nat Commun (2019)","Low density lipoprotein (LDL) cholesterol","low density lipoprotein cholesterol measurement",103,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000065/ScoringFiles/PGS000065.txt.gz
PGS000066(GLGC2017_TG),"PGP000046|Kuchenbaecker K et al. Nat Commun (2019)","Triglycerides (TG)","triglyceride measurement",101,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000066/ScoringFiles/PGS000066.txt.gz
PGS000067(PCa_PHS),"PGP000047|Seibert TM et al. BMJ (2018)","Prostate cancer","prostate carcinoma",54,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000067/ScoringFiles/PGS000067.txt.gz
PGS000068(PRS_EOC),"PGP000048|Yang X et al. J Med Genet (2018)","Epithelial ovarian cancer","ovarian carcinoma",15,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000068/ScoringFiles/PGS000068.txt.gz
PGS000069(PRS_sEOC),"PGP000048|Yang X et al. J Med Genet (2018)","Serous epithelial ovarian cancer","ovarian serous carcinoma",15,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000069/ScoringFiles/PGS000069.txt.gz
PGS000070(PRS_LC_C),"PGP000049|Dai J et al. Lancet Respir Med (2019)","Lung cancer","lung adenocarcinoma",19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000070/ScoringFiles/PGS000070.txt.gz
PGS000071(CC_Bladder),"PGP000050|Graff RE et al. Nat Commun (2021)","Bladder cancer","bladder carcinoma",15,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000071/ScoringFiles/PGS000071.txt.gz
PGS000072(CC_Breast),"PGP000050|Graff RE et al. Nat Commun (2021)","Breast cancer","breast carcinoma",187,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000072/ScoringFiles/PGS000072.txt.gz
PGS000073(CC_Cervix),"PGP000050|Graff RE et al. Nat Commun (2021)","Cervical cancer","cervical carcinoma",10,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000073/ScoringFiles/PGS000073.txt.gz
PGS000074(CC_Colorectal),"PGP000050|Graff RE et al. Nat Commun (2021)","Colorectal cancer","colorectal cancer",103,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000074/ScoringFiles/PGS000074.txt.gz
PGS000075(CC_Endo),"PGP000050|Graff RE et al. Nat Commun (2021)","Endometrial cancer","endometrial carcinoma",9,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000075/ScoringFiles/PGS000075.txt.gz
PGS000076(CC_Kidney),"PGP000050|Graff RE et al. Nat Commun (2021)","Kidney cancer","renal cell carcinoma",19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000076/ScoringFiles/PGS000076.txt.gz
PGS000077(CC_LL),"PGP000050|Graff RE et al. Nat Commun (2021)","Lymphocytic leukemia","lymphoid leukemia",75,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000077/ScoringFiles/PGS000077.txt.gz
PGS000078(CC_Lung),"PGP000050|Graff RE et al. Nat Commun (2021)","Lung cancer","lung carcinoma",109,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000078/ScoringFiles/PGS000078.txt.gz
PGS000079(CC_Melanoma),"PGP000050|Graff RE et al. Nat Commun (2021)",Melanoma,melanoma,24,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000079/ScoringFiles/PGS000079.txt.gz
PGS000080(CC_NHL),"PGP000050|Graff RE et al. Nat Commun (2021)","Non-Hodgkin's lymphoma","non-Hodgkins lymphoma",19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000080/ScoringFiles/PGS000080.txt.gz
PGS000081(CC_Oral),"PGP000050|Graff RE et al. Nat Commun (2021)","Oral cavity and pharyngeal cancers","oral cavity cancer,<br>pharynx cancer",14,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000081/ScoringFiles/PGS000081.txt.gz
PGS000082(CC_Ovary),"PGP000050|Graff RE et al. Nat Commun (2021)","Ovarian cancer","ovarian carcinoma",36,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000082/ScoringFiles/PGS000082.txt.gz
PGS000083(CC_Pancreas),"PGP000050|Graff RE et al. Nat Commun (2021)","Pancreatic cancer","pancreatic carcinoma",22,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000083/ScoringFiles/PGS000083.txt.gz
PGS000084(CC_Prostate),"PGP000050|Graff RE et al. Nat Commun (2021)","Prostate cancer","prostate carcinoma",161,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000084/ScoringFiles/PGS000084.txt.gz
PGS000086(CC_Testis),"PGP000050|Graff RE et al. Nat Commun (2021)","Testicular cancer","testicular carcinoma,<br>Testicular Germ Cell Tumor",52,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000086/ScoringFiles/PGS000086.txt.gz
PGS000087(CC_Thyroid),"PGP000050|Graff RE et al. Nat Commun (2021)","Thyroid cancer","thyroid carcinoma",12,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000087/ScoringFiles/PGS000087.txt.gz
PGS000088(baso),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Basophil count","basophil count",198,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000088/ScoringFiles/PGS000088.txt.gz
PGS000089(baso_p),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Basophil percentage of white cells","basophil percentage of leukocytes",160,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000089/ScoringFiles/PGS000089.txt.gz
PGS000090(eo),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Eosinophil count","eosinophil count",623,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000090/ScoringFiles/PGS000090.txt.gz
PGS000091(eo_p),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Eosinophil percentage of white cells","eosinophil percentage of leukocytes",589,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000091/ScoringFiles/PGS000091.txt.gz
PGS000092(hct),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre",Hematocrit,hematocrit,513,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000092/ScoringFiles/PGS000092.txt.gz
PGS000093(hgb),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Hemoglobin concentration","hemoglobin measurement",532,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000093/ScoringFiles/PGS000093.txt.gz
PGS000094(hlr),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","High light scatter reticulocyte count","reticulocyte count",605,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000094/ScoringFiles/PGS000094.txt.gz
PGS000095(hlr_p),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","High light scatter reticulocyte percentage of red cells","reticulocyte count",594,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000095/ScoringFiles/PGS000095.txt.gz
PGS000096(irf),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Immature fraction of reticulocytes","reticulocyte count",390,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000096/ScoringFiles/PGS000096.txt.gz
PGS000097(lymph),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Lymphocyte count","lymphocyte count",639,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000097/ScoringFiles/PGS000097.txt.gz
PGS000098(lymph_p),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Lymphocyte percentage of white cells","lymphocyte percentage of leukocytes",489,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000098/ScoringFiles/PGS000098.txt.gz
PGS000099(mch),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Mean corpuscular hemoglobin","mean corpuscular hemoglobin",682,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000099/ScoringFiles/PGS000099.txt.gz
PGS000100(mchc),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Mean corpuscular hemoglobin concentration","mean corpuscular hemoglobin concentration",252,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000100/ScoringFiles/PGS000100.txt.gz
PGS000101(mcv),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Mean corpuscular volume","mean corpuscular volume",739,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000101/ScoringFiles/PGS000101.txt.gz
PGS000102(mono),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Monocyte count","monocyte count",674,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000102/ScoringFiles/PGS000102.txt.gz
PGS000103(mono_p),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Monocyte percentage of white cells","monocyte percentage of leukocytes",583,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000103/ScoringFiles/PGS000103.txt.gz
PGS000104(mpv),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Mean platelet volume","mean platelet volume",681,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000104/ScoringFiles/PGS000104.txt.gz
PGS000105(neut),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Neutrophil count","neutrophil count",512,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000105/ScoringFiles/PGS000105.txt.gz
PGS000106(neut_p),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Neutrophil percentage of white cells","neutrophil percentage of leukocytes",452,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000106/ScoringFiles/PGS000106.txt.gz
PGS000107(pct),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre",Plateletcrit,"platelet crit",726,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000107/ScoringFiles/PGS000107.txt.gz
PGS000108(pdw),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Platelet distribution width","platelet component distribution width",579,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000108/ScoringFiles/PGS000108.txt.gz
PGS000109(plt),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Platelet count","platelet count",762,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000109/ScoringFiles/PGS000109.txt.gz
